<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	1.55440	1.55467	1.53242	1.53244	70780	0	12
2015.01.05	1.52995	1.53184	1.51718	1.52483	108979	0	12
2015.01.06	1.52482	1.52729	1.51404	1.51485	107006	0	12
2015.01.07	1.51485	1.51546	1.50543	1.51084	111304	0	12
2015.01.08	1.51083	1.51166	1.50336	1.50882	94075	0	11
2015.01.09	1.50882	1.51738	1.50764	1.51571	104093	0	10
2015.01.12	1.51768	1.51929	1.50982	1.51694	93714	0	12
2015.01.13	1.51697	1.51908	1.50769	1.51582	110581	0	12
2015.01.14	1.51582	1.52678	1.51443	1.52320	114133	0	12
2015.01.15	1.52321	1.52665	1.51494	1.51805	127237	0	11
2015.01.16	1.51813	1.52336	1.50745	1.51450	125329	0	9
2015.01.19	1.51274	1.51780	1.51079	1.51098	51772	0	8
2015.01.20	1.51107	1.51985	1.50577	1.51417	40874	0	12
2015.01.21	1.51421	1.51779	1.50751	1.51399	50415	0	14
2015.01.22	1.51397	1.52114	1.49714	1.50076	57253	0	14
2015.01.23	1.50087	1.50346	1.49503	1.49876	59924	0	11
2015.01.26	1.50079	1.51026	1.49858	1.50758	47625	0	15
2015.01.27	1.50751	1.52227	1.50590	1.51958	70437	16414778000	1
2015.01.28	1.51919	1.52185	1.51302	1.51364	83169	0	1
2015.01.29	1.51349	1.51616	1.50176	1.50642	46843	8000000	6
2015.01.30	1.50626	1.50950	1.49882	1.50619	47062	0	13
2015.02.02	1.50933	1.50982	1.50048	1.50373	77250	0	8
2015.02.03	1.50380	1.51969	1.49883	1.51650	86690	0	8
2015.02.04	1.51650	1.52499	1.51382	1.51801	73098	0	2
2015.02.05	1.51805	1.53427	1.51642	1.53264	81400	0	8
2015.02.06	1.53263	1.53516	1.52103	1.52250	70972	0	8
2015.02.09	1.52265	1.52662	1.52000	1.52136	73909	0	6
2015.02.10	1.52134	1.52746	1.51959	1.52530	73791	0	8
2015.02.11	1.52530	1.52988	1.52184	1.52358	72072	0	6
2015.02.12	1.52351	1.54127	1.52088	1.53825	79397	0	6
2015.02.13	1.53824	1.54215	1.53705	1.53928	73170	0	8
2015.02.16	1.54178	1.54396	1.53385	1.53613	70974	0	8
2015.02.17	1.53607	1.54013	1.53156	1.53518	73475	0	10
2015.02.18	1.53517	1.54777	1.53410	1.54344	78140	0	8
2015.02.19	1.54345	1.54649	1.54040	1.54134	70165	0	8
2015.02.20	1.54124	1.54333	1.53430	1.53983	76045	0	1
2015.02.23	1.53953	1.54739	1.53321	1.54558	63625	0	8
2015.02.24	1.54554	1.54733	1.54038	1.54515	65712	0	8
2015.02.25	1.54527	1.55380	1.54465	1.55273	64527	0	8
2015.02.26	1.55279	1.55516	1.53940	1.54051	70077	0	8
2015.02.27	1.54050	1.54580	1.53840	1.54365	70621	0	7
2015.03.02	1.54151	1.54281	1.53513	1.53636	64072	0	8
2015.03.03	1.53648	1.53970	1.53442	1.53588	61215	0	7
2015.03.04	1.53590	1.53713	1.52515	1.52638	66344	0	6
2015.03.05	1.52640	1.52690	1.52149	1.52388	67554	0	8
2015.03.06	1.52400	1.52554	1.50314	1.50333	69856	0	8
2015.03.09	1.50345	1.51366	1.50328	1.51272	66438	0	5
2015.03.10	1.51270	1.51280	1.50284	1.50534	86182	0	6
2015.03.11	1.50538	1.50959	1.48928	1.49281	95567	0	8
2015.03.12	1.49284	1.50260	1.48495	1.48845	88081	0	8
2015.03.13	1.48842	1.48962	1.46988	1.47397	85528	0	6
2015.03.16	1.47342	1.48529	1.47342	1.48253	84136	0	2
2015.03.17	1.48231	1.48447	1.47236	1.47428	86285	0	1
2015.03.18	1.47433	1.51648	1.46347	1.49574	99161	0	1
2015.03.19	1.49560	1.50094	1.46876	1.47543	108127	0	2
2015.03.20	1.47541	1.49880	1.47215	1.49450	91424	0	10
2015.03.23	1.49723	1.49729	1.48377	1.49535	92693	0	6
2015.03.24	1.49534	1.49835	1.48411	1.48428	98379	0	10
2015.03.25	1.48438	1.49533	1.48303	1.48844	78715	0	10
2015.03.26	1.48841	1.49933	1.48062	1.48499	91846	0	6
2015.03.27	1.48501	1.49210	1.47959	1.48700	86753	0	8
2015.03.30	1.48826	1.49003	1.47527	1.48092	76570	0	8
2015.03.31	1.48082	1.48710	1.47545	1.48164	79845	0	14
2015.04.01	1.48174	1.48707	1.47390	1.48224	79563	0	8
2015.04.02	1.48227	1.48678	1.47756	1.48268	75990	0	4
2015.04.03	1.48267	1.49445	1.48095	1.49179	55162	0	12
2015.04.06	1.49179	1.49806	1.48696	1.48785	41574	0	6
2015.04.07	1.48770	1.49197	1.48021	1.48069	77935	0	4
2015.04.08	1.48068	1.49727	1.48066	1.48662	77993	0	4
2015.04.09	1.48651	1.48855	1.46847	1.47111	74435	0	4
2015.04.10	1.47113	1.47241	1.45865	1.46310	73860	0	4
2015.04.13	1.46310	1.46809	1.45650	1.46745	71071	0	4
2015.04.14	1.46748	1.48011	1.46029	1.47798	81043	0	4
2015.04.15	1.47795	1.48533	1.47004	1.48412	80617	0	4
2015.04.16	1.48412	1.49690	1.48114	1.49320	100135	0	8
2015.04.17	1.49320	1.50527	1.49154	1.49595	88033	0	4
2015.04.20	1.49595	1.49831	1.48873	1.49075	76220	0	4
2015.04.21	1.49075	1.49724	1.48557	1.49251	94903	0	2
2015.04.22	1.49251	1.50792	1.49127	1.50399	105696	0	2
2015.04.23	1.50399	1.50696	1.49593	1.50584	102206	0	2
2015.04.24	1.50584	1.51868	1.50268	1.51855	101526	0	2
2015.04.27	1.51747	1.52614	1.51065	1.52341	92943	0	2
2015.04.28	1.52296	1.53424	1.51719	1.53395	107603	0	2
2015.04.29	1.53384	1.54977	1.53274	1.54377	128457	0	2
2015.04.30	1.54370	1.54918	1.53033	1.53524	149116	0	2
2015.05.01	1.53489	1.53965	1.51141	1.51473	106499	0	2
2015.05.04	1.51432	1.51742	1.50897	1.51203	69783	0	1
2015.05.05	1.51202	1.52172	1.50899	1.51807	24244	0	1
2015.05.06	1.51790	1.52898	1.51508	1.52415	43336	0	1
2015.05.07	1.52410	1.52743	1.51647	1.52436	18854	0	3
2015.05.08	1.52470	1.55207	1.52450	1.54426	34842	0	6
2015.05.11	1.54484	1.56120	1.53925	1.55847	68349	0	7
2015.05.12	1.55843	1.57096	1.55565	1.56681	105687	0	8
2015.05.13	1.56680	1.57683	1.56333	1.57436	82150	0	7
2015.05.14	1.57440	1.58139	1.57283	1.57747	94140	0	7
2015.05.15	1.57752	1.58076	1.57005	1.57271	84612	0	7
2015.05.18	1.57384	1.57446	1.56372	1.56515	82942	0	1
2015.05.19	1.56519	1.56689	1.54451	1.55099	115886	0	8
2015.05.20	1.55116	1.55870	1.54718	1.55342	129773	0	8
2015.05.21	1.55339	1.56991	1.55241	1.56600	118719	0	7
2015.05.22	1.56600	1.56888	1.54595	1.54957	114775	0	8
2015.05.25	1.54759	1.55069	1.54555	1.54675	74320	0	15
2015.05.26	1.54683	1.54747	1.53532	1.53819	120644	0	6
2015.05.27	1.53819	1.54364	1.53006	1.53499	115885	0	8
2015.05.28	1.53529	1.53847	1.52596	1.53119	118310	0	10
2015.05.29	1.53128	1.53413	1.52356	1.52842	107611	0	9
2015.06.01	1.52923	1.53038	1.51695	1.51989	130503	0	7
2015.06.02	1.51949	1.53666	1.51785	1.53424	176119	0	6
2015.06.03	1.53415	1.53743	1.52515	1.53383	98438	0	3
2015.06.04	1.53382	1.54405	1.53039	1.53608	53614	0	1
2015.06.05	1.53592	1.53688	1.51897	1.52711	181459	0	8
2015.06.08	1.52691	1.53632	1.52207	1.53471	147392	0	8
2015.06.09	1.53473	1.53884	1.52567	1.53837	168159	0	8
2015.06.10	1.53847	1.55529	1.53682	1.55285	190949	0	1
2015.06.11	1.55281	1.55330	1.54201	1.55157	145496	0	1
2015.06.12	1.55157	1.55975	1.54663	1.55571	124323	0	1
2015.06.15	1.55485	1.56133	1.54870	1.55995	108890	0	1
2015.06.16	1.56008	1.56536	1.55409	1.56461	134795	0	2
2015.06.17	1.56459	1.58464	1.56252	1.58303	175856	0	4
2015.06.18	1.58299	1.59292	1.58055	1.58769	164473	0	8
2015.06.19	1.58782	1.58959	1.58346	1.58760	123394	0	8
2015.06.22	1.58714	1.59093	1.58047	1.58225	128068	0	8
2015.06.23	1.58225	1.58309	1.57084	1.57286	147163	0	8
2015.06.24	1.57282	1.58021	1.56667	1.57031	139027	0	8
2015.06.25	1.57040	1.57698	1.56762	1.57455	129095	0	8
2015.06.26	1.57468	1.57663	1.57081	1.57455	118889	0	8
2015.06.29	1.56960	1.57878	1.56613	1.57352	178051	0	8
2015.06.30	1.57360	1.57755	1.56924	1.57065	159509	0	8
2015.07.01	1.57036	1.57322	1.55880	1.56146	143648	0	6
2015.07.02	1.56144	1.56394	1.55618	1.56068	126635	0	4
2015.07.03	1.56057	1.56433	1.55556	1.55773	110686	0	4
2015.07.06	1.55417	1.56278	1.55314	1.56016	130863	0	5
2015.07.07	1.56012	1.56090	1.54132	1.54609	161835	0	5
2015.07.08	1.54612	1.54666	1.53297	1.53606	152386	0	5
2015.07.09	1.53602	1.54199	1.53429	1.53790	135178	0	5
2015.07.10	1.53790	1.55501	1.53633	1.55129	138794	0	5
2015.07.13	1.55028	1.55884	1.54806	1.54842	139820	0	5
2015.07.14	1.54844	1.56384	1.54502	1.56348	139133	0	5
2015.07.15	1.56348	1.56744	1.55761	1.56365	143617	0	5
2015.07.16	1.56363	1.56500	1.55596	1.56066	139086	0	5
2015.07.17	1.56056	1.56723	1.55527	1.56054	112037	0	8
2015.07.20	1.56002	1.56269	1.55380	1.55595	106655	0	8
2015.07.21	1.55589	1.55900	1.55283	1.55528	163222	0	6
2015.07.22	1.55515	1.56459	1.55441	1.56107	245776	0	5
2015.07.23	1.56080	1.56701	1.55006	1.55129	174514	103386484000	8
2015.07.24	1.55147	1.55256	1.54663	1.55127	126885	102987460000	11
2015.07.27	1.55090	1.55948	1.54902	1.55568	146634	118164786000	8
2015.07.28	1.55571	1.56272	1.55277	1.56105	145125	128861822000	11
2015.07.29	1.56113	1.56891	1.55872	1.56042	153730	130967523000	8
2015.07.30	1.55995	1.56429	1.55622	1.55994	151221	136902529000	0
2015.07.31	1.55966	1.56778	1.55486	1.56201	165980	152305027000	5
2015.08.03	1.56289	1.56443	1.55649	1.55846	152249	153419597000	9
2015.08.04	1.55825	1.56333	1.55572	1.55603	167560	165919873000	11
2015.08.05	1.55589	1.56507	1.55253	1.55976	171399	151129646000	8
2015.08.06	1.55972	1.56363	1.54666	1.55099	145070	134603506000	11
2015.08.07	1.55071	1.55450	1.54243	1.54958	141089	112349599000	11
2015.08.10	1.54841	1.56053	1.54579	1.55842	108001	90213179000	10
2015.08.11	1.55896	1.56162	1.55548	1.55654	130739	109731551000	5
2015.08.12	1.55704	1.56594	1.55336	1.56058	145525	122401901000	11
2015.08.13	1.56088	1.56363	1.55726	1.56058	110876	89498798000	4
2015.08.14	1.56051	1.56592	1.55881	1.56407	108039	93517820000	11
2015.08.17	1.56507	1.56875	1.55783	1.55810	128345	123800847000	11
2015.08.18	1.55802	1.57166	1.55617	1.56548	129141	121758909000	11
2015.08.19	1.56581	1.57000	1.56350	1.56750	157707	144995693000	10
2015.08.20	1.56747	1.57011	1.56057	1.56833	153235	137256453000	11
2015.08.21	1.56847	1.57228	1.56574	1.56853	171418	150924455000	11
2015.08.24	1.56764	1.58028	1.56299	1.57697	214072	131915816000	10
2015.08.25	1.57731	1.58186	1.56808	1.56808	198211	161882847000	11
2015.08.26	1.56853	1.57195	1.54520	1.54578	186870	164646242000	11
2015.08.27	1.54575	1.55083	1.53696	1.53979	162348	147281640000	11
2015.08.28	1.53988	1.54425	1.53348	1.53897	152379	136502219000	11
2015.08.31	1.54104	1.54363	1.53390	1.53415	111228	105521325000	11
2015.09.01	1.53384	1.54074	1.52994	1.53018	141849	126631992000	8
2015.09.02	1.53015	1.53253	1.52637	1.52964	143596	132511145000	11
2015.09.03	1.52949	1.53129	1.52187	1.52543	124522	118448792000	11
2015.09.04	1.52525	1.52733	1.51643	1.51675	119699	117095611000	11
2015.09.07	1.51752	1.52878	1.51707	1.52739	115085	99866071000	11
2015.09.08	1.52719	1.54121	1.52692	1.53926	121761	112112797000	11
2015.09.09	1.53874	1.54040	1.53493	1.53641	125800	123736848000	11
2015.09.10	1.53644	1.54756	1.53383	1.54410	144820	135063525000	11
2015.09.11	1.54393	1.54612	1.53995	1.54270	120495	110006122000	9
2015.09.14	1.54263	1.54706	1.53723	1.54231	102103	91666295000	9
2015.09.15	1.54219	1.54566	1.53293	1.53412	104950	105015068000	11
2015.09.16	1.53419	1.55281	1.53296	1.54903	111791	109660138000	9
2015.09.17	1.54879	1.56275	1.54856	1.55878	132880	126511183000	4
2015.09.18	1.55875	1.56579	1.55139	1.55243	134294	139421423000	11
2015.09.21	1.55230	1.55674	1.54803	1.55055	121151	120039613000	10
2015.09.22	1.55043	1.55279	1.53399	1.53612	122247	121203347000	10
2015.09.23	1.53633	1.53664	1.52201	1.52413	125816	120670596000	11
2015.09.24	1.52418	1.52885	1.52002	1.52403	138395	134429893000	11
2015.09.25	1.52373	1.52600	1.51349	1.51773	130137	124370987000	11
2015.09.28	1.51909	1.52406	1.51568	1.51716	116170	109631578000	10
2015.09.29	1.51716	1.52045	1.51285	1.51483	130140	122011468000	11
2015.09.30	1.51475	1.52132	1.51068	1.51260	126168	122026562000	6
2015.10.01	1.51260	1.51796	1.51064	1.51282	117311	109219383000	0
2015.10.02	1.51269	1.52370	1.51269	1.51768	129698	116355762000	11
2015.10.05	1.51871	1.52440	1.51361	1.51431	136540	136093394000	11
2015.10.06	1.51428	1.52429	1.51394	1.52230	110014	106659801000	9
2015.10.07	1.52241	1.53391	1.52180	1.53148	123553	121745289000	11
2015.10.08	1.53146	1.53717	1.52608	1.53450	124585	123882856000	5
2015.10.09	1.53460	1.53828	1.52996	1.53238	125054	120381327000	10
2015.10.12	1.53039	1.53728	1.53039	1.53465	99932	100128601000	4
2015.10.13	1.53457	1.53872	1.51998	1.52462	126569	122989194000	11
2015.10.14	1.52449	1.54939	1.52449	1.54762	132104	127411189000	11
2015.10.15	1.54721	1.55081	1.54143	1.54511	129979	129216480000	11
2015.10.16	1.54460	1.54860	1.54299	1.54357	118991	114093684000	11
2015.10.19	1.54304	1.54966	1.54271	1.54646	106224	104951895000	11
2015.10.20	1.54620	1.55058	1.54348	1.54409	108657	106768940000	11
2015.10.21	1.54407	1.54769	1.54119	1.54183	107715	110797805000	11
