<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.02	1.36470	1.36614	1.35683	1.35768	66177	0	5
2019.01.03	1.35767	1.36534	1.34682	1.34878	92562	0	8
2019.01.04	1.34866	1.34954	1.33717	1.33719	70064	0	4
2019.01.07	1.33784	1.33888	1.32776	1.32977	51784	0	7
2019.01.08	1.32985	1.33220	1.32665	1.32722	50567	0	8
2019.01.09	1.32722	1.32777	1.31799	1.32080	71689	0	4
2019.01.10	1.32079	1.32589	1.32008	1.32344	52548	0	4
2019.01.11	1.32362	1.32777	1.31825	1.32630	59060	0	4
2019.01.14	1.32506	1.32965	1.32449	1.32845	50023	0	8
2019.01.15	1.32845	1.32934	1.32252	1.32649	64471	0	5
2019.01.16	1.32653	1.32832	1.32342	1.32534	55933	0	10
2019.01.17	1.32539	1.33180	1.32452	1.32768	57617	0	8
2019.01.18	1.32767	1.32831	1.32306	1.32636	52975	0	9
2019.01.21	1.32591	1.33175	1.32506	1.32946	49314	0	8
2019.01.22	1.32945	1.33565	1.32913	1.33543	56994	0	11
2019.01.23	1.33532	1.33698	1.33041	1.33416	61097	0	8
2019.01.24	1.33433	1.33742	1.33284	1.33506	68698	0	9
2019.01.25	1.33545	1.33611	1.32144	1.32178	62082	0	12
2019.01.28	1.32171	1.32851	1.32021	1.32612	49891	0	8
2019.01.29	1.32610	1.32839	1.32407	1.32680	62000	0	6
2019.01.30	1.32686	1.32802	1.31176	1.31474	69058	0	7
2019.01.31	1.31507	1.31643	1.31194	1.31217	68739	0	18
2019.02.01	1.31221	1.31565	1.30677	1.30972	61624	0	9
2019.02.04	1.30904	1.31466	1.30845	1.31087	48500	0	7
2019.02.05	1.31103	1.31523	1.31012	1.31245	47114	0	8
2019.02.06	1.31263	1.32142	1.31237	1.32101	50994	0	4
2019.02.07	1.32111	1.33164	1.32027	1.33061	48990	0	7
2019.02.08	1.33065	1.33283	1.32314	1.32728	49991	0	9
2019.02.11	1.32666	1.33180	1.32608	1.32992	36654	0	7
2019.02.12	1.32995	1.33138	1.32322	1.32341	43266	0	9
2019.02.13	1.32343	1.32586	1.31951	1.32528	38922	0	9
2019.02.14	1.32545	1.33395	1.32279	1.32938	50316	0	8
2019.02.15	1.32942	1.33122	1.32435	1.32457	43806	0	8
2019.02.18	1.32491	1.32539	1.32242	1.32359	32144	0	6
2019.02.19	1.32359	1.32804	1.32046	1.32096	43796	0	9
2019.02.20	1.32110	1.32151	1.31492	1.31742	46535	0	8
2019.02.21	1.31754	1.32331	1.31617	1.32293	59822	0	9
2019.02.22	1.32310	1.32412	1.31330	1.31345	48279	0	9
2019.02.25	1.31332	1.31964	1.31118	1.31861	49769	0	9
2019.02.26	1.31861	1.32348	1.31541	1.31673	48562	0	7
2019.02.27	1.31677	1.31754	1.31173	1.31543	122624	0	8
2019.02.28	1.31553	1.32063	1.31393	1.31692	54966	0	8
2019.03.01	1.31742	1.33057	1.31290	1.33057	60090	0	5
2019.03.04	1.32751	1.33368	1.32739	1.33012	50731	0	8
2019.03.05	1.33041	1.33592	1.33007	1.33479	47806	0	5
2019.03.06	1.33500	1.34565	1.33474	1.34406	54254	0	9
2019.03.07	1.34380	1.34666	1.34125	1.34539	66573	0	4
2019.03.08	1.34538	1.34653	1.33894	1.34166	63968	0	7
2019.03.11	1.34163	1.34391	1.33913	1.33935	46703	0	10
2019.03.12	1.33928	1.34162	1.33505	1.33536	53602	0	9
2019.03.13	1.33532	1.33705	1.32896	1.32986	59142	0	8
2019.03.14	1.32985	1.33463	1.32861	1.33300	56202	0	7
2019.03.15	1.33298	1.33704	1.32883	1.33368	51130	0	9
2019.03.18	1.33356	1.33645	1.33006	1.33364	46824	0	6
2019.03.19	1.33365	1.33436	1.32497	1.33212	62695	0	4
2019.03.20	1.33214	1.33467	1.32568	1.32965	63333	0	4
2019.03.21	1.32966	1.33989	1.32742	1.33608	75289	0	4
2019.03.22	1.33608	1.34285	1.33511	1.34270	87883	0	6
2019.03.25	1.34238	1.34436	1.33976	1.34043	61762	0	4
2019.03.26	1.34041	1.34110	1.33710	1.33821	62427	0	8
2019.03.27	1.33829	1.34389	1.33761	1.34102	64745	0	8
2019.03.28	1.34099	1.34500	1.33952	1.34296	64218	0	9
2019.03.29	1.34296	1.34415	1.33407	1.33498	55610	0	4
2019.04.01	1.33453	1.33700	1.32969	1.33050	55496	0	7
2019.04.02	1.33069	1.33731	1.32982	1.33337	57784	0	9
2019.04.03	1.33350	1.33525	1.32953	1.33421	51359	0	6
2019.04.04	1.33444	1.33720	1.33355	1.33573	47955	0	6
2019.04.05	1.33593	1.34020	1.33480	1.33768	49517	0	6
2019.04.08	1.33803	1.33866	1.33038	1.33114	46058	0	8
2019.04.09	1.33129	1.33303	1.32831	1.33274	48726	0	6
2019.04.10	1.33293	1.33590	1.33054	1.33164	46826	0	5
2019.04.11	1.33189	1.33951	1.33096	1.33830	46992	0	5
2019.04.12	1.33831	1.33844	1.33124	1.33256	56195	0	6
2019.04.15	1.33261	1.33895	1.32964	1.33653	45386	0	10
2019.04.16	1.33660	1.34021	1.33454	1.33484	50645	0	10
2019.04.17	1.33485	1.33716	1.32736	1.33402	57098	0	8
2019.04.18	1.33377	1.33990	1.33311	1.33740	55473	0	7
2019.04.19	1.33789	1.33930	1.33642	1.33887	30645	0	12
2019.04.22	1.33874	1.33896	1.33344	1.33456	34538	0	7
2019.04.23	1.33466	1.34420	1.33424	1.34214	42796	0	7
