<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.10.01	01:00:00	4309.2	4313.7	4309.2	4313.5	416	0	8
2021.10.01	02:00:00	4313.5	4318.7	4312.2	4316.0	1232	0	8
2021.10.01	03:00:00	4316.0	4321.0	4308.2	4308.5	1811	0	8
2021.10.01	04:00:00	4308.4	4310.2	4279.2	4283.2	3535	0	4
2021.10.01	05:00:00	4283.2	4287.0	4280.2	4282.7	2577	0	8
2021.10.01	06:00:00	4282.7	4289.5	4281.2	4282.5	1922	0	8
2021.10.01	07:00:00	4282.5	4285.7	4280.2	4285.0	1416	0	8
2021.10.01	08:00:00	4285.0	4290.7	4280.7	4289.5	1987	0	8
2021.10.01	09:00:00	4289.5	4294.5	4270.2	4276.0	2441	0	1
2021.10.01	10:00:00	4276.0	4292.7	4270.2	4286.2	2900	0	8
2021.10.01	11:00:00	4286.2	4289.5	4276.0	4282.2	3883	0	8
2021.10.01	12:00:00	4282.2	4289.0	4282.0	4285.0	2637	0	8
2021.10.01	13:00:00	4285.2	4294.0	4284.5	4293.2	2023	0	8
2021.10.01	14:00:00	4293.2	4328.0	4293.0	4321.0	3397	0	8
2021.10.01	15:00:00	4321.0	4330.2	4315.0	4318.6	2867	0	8
2021.10.01	16:00:00	4318.5	4331.2	4303.2	4309.5	7038	0	8
2021.10.01	17:00:00	4309.2	4318.2	4287.2	4306.5	9563	0	8
2021.10.01	18:00:00	4306.7	4336.0	4297.7	4329.5	7298	0	1
2021.10.01	19:00:00	4329.7	4334.5	4322.7	4329.2	5081	0	8
2021.10.01	20:00:00	4329.7	4354.0	4325.0	4348.2	3592	0	1
2021.10.01	21:00:00	4348.5	4364.7	4348.2	4362.7	2830	0	8
2021.10.01	22:00:00	4363.0	4375.7	4350.5	4357.5	4442	0	8
2021.10.04	01:00:00	4370.3	4371.8	4367.0	4370.5	583	0	8
2021.10.04	02:00:00	4370.8	4371.5	4366.5	4368.0	1214	0	8
2021.10.04	03:00:00	4368.0	4368.5	4350.5	4353.8	2475	0	8
2021.10.04	04:00:00	4353.8	4356.5	4336.5	4340.8	3419	0	8
2021.10.04	05:00:00	4340.8	4351.5	4337.8	4349.0	2871	0	8
2021.10.04	06:00:00	4348.8	4349.5	4339.0	4340.3	2240	0	8
2021.10.04	07:00:00	4340.3	4353.3	4338.4	4352.0	2067	0	8
2021.10.04	08:00:00	4352.0	4358.3	4342.8	4345.0	2965	0	1
2021.10.04	09:00:00	4345.0	4347.0	4330.5	4337.8	3367	0	8
2021.10.04	10:00:00	4337.8	4341.3	4325.0	4335.5	4224	0	8
2021.10.04	11:00:00	4335.5	4344.3	4329.3	4340.8	4419	0	8
2021.10.04	12:00:00	4340.8	4345.8	4338.3	4340.3	3121	0	8
2021.10.04	13:00:00	4340.3	4345.8	4334.8	4342.3	2774	0	8
2021.10.04	14:00:00	4342.3	4343.3	4332.5	4337.3	2571	0	8
2021.10.04	15:00:00	4337.3	4351.5	4336.8	4348.5	1665	0	8
2021.10.04	16:00:00	4348.5	4354.0	4336.0	4342.8	5891	0	0
2021.10.04	17:00:00	4342.0	4346.5	4285.0	4294.3	9858	0	8
2021.10.04	18:00:00	4294.3	4302.5	4277.5	4298.2	8675	0	8
2021.10.04	19:00:00	4298.0	4299.8	4280.6	4286.3	5900	0	8
2021.10.04	20:00:00	4286.0	4296.3	4278.8	4287.3	6024	0	8
2021.10.04	21:00:00	4287.6	4299.8	4286.1	4296.5	7325	0	8
2021.10.04	22:00:00	4296.8	4306.3	4287.5	4302.0	8268	0	8
2021.10.05	01:00:00	4306.9	4309.4	4306.6	4308.4	260	0	8
2021.10.05	02:00:00	4308.4	4309.4	4299.9	4302.9	1419	0	8
2021.10.05	03:00:00	4302.9	4305.1	4286.3	4287.6	2407	0	8
2021.10.05	04:00:00	4287.6	4297.2	4280.9	4291.9	2552	0	8
2021.10.05	05:00:00	4291.9	4305.1	4289.6	4303.1	2478	0	8
2021.10.05	06:00:00	4303.1	4307.9	4297.4	4307.1	2340	0	8
2021.10.05	07:00:00	4307.1	4307.4	4300.4	4304.4	1851	0	8
2021.10.05	08:00:00	4304.4	4307.0	4300.6	4302.1	2575	0	8
2021.10.05	09:00:00	4302.1	4305.0	4294.0	4303.0	2002	0	8
2021.10.05	10:00:00	4303.3	4311.8	4299.3	4300.6	2157	0	8
2021.10.05	11:00:00	4300.6	4314.1	4297.3	4313.8	2233	0	8
2021.10.05	12:00:00	4313.8	4320.1	4313.6	4319.8	1229	0	8
2021.10.05	13:00:00	4319.8	4320.1	4313.1	4315.8	1353	0	8
2021.10.05	14:00:00	4316.1	4324.8	4315.1	4321.1	1348	0	8
2021.10.05	15:00:00	4321.0	4322.6	4318.1	4322.0	1221	0	1
2021.10.05	16:00:00	4322.0	4332.2	4309.1	4327.2	5716	0	8
2021.10.05	17:00:00	4327.2	4360.0	4326.5	4360.0	3834	0	8
2021.10.05	18:00:00	4359.7	4366.7	4353.6	4361.1	3043	0	8
2021.10.05	19:00:00	4361.3	4367.3	4354.3	4360.8	3153	0	8
2021.10.05	20:00:00	4361.1	4368.3	4356.6	4365.6	2655	0	8
2021.10.05	21:00:00	4365.6	4370.3	4362.1	4365.3	2274	0	8
2021.10.05	22:00:00	4365.3	4368.8	4343.6	4345.6	3607	0	8
2021.10.06	01:00:00	4348.8	4349.3	4347.1	4348.8	192	0	8
2021.10.06	02:00:00	4348.8	4349.3	4337.8	4338.8	1079	0	8
2021.10.06	03:00:00	4338.8	4348.6	4337.8	4345.3	1880	0	6
