<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.10.01	00:00:00	0.72253	0.72294	0.72192	0.72254	369	0	17
2021.10.01	01:00:00	0.72254	0.72309	0.72254	0.72296	611	0	10
2021.10.01	02:00:00	0.72298	0.72300	0.72255	0.72285	673	0	4
2021.10.01	03:00:00	0.72281	0.72404	0.72254	0.72270	2766	0	3
2021.10.01	04:00:00	0.72271	0.72288	0.72187	0.72261	4031	0	3
2021.10.01	05:00:00	0.72261	0.72268	0.72201	0.72223	1654	0	3
2021.10.01	06:00:00	0.72226	0.72266	0.72159	0.72177	1489	0	3
2021.10.01	07:00:00	0.72178	0.72192	0.72093	0.72138	1345	0	3
2021.10.01	08:00:00	0.72138	0.72147	0.72053	0.72104	1615	0	3
2021.10.01	09:00:00	0.72099	0.72144	0.71918	0.72021	4329	0	3
2021.10.01	10:00:00	0.72022	0.72110	0.71963	0.72047	5579	0	3
2021.10.01	11:00:00	0.72046	0.72304	0.72028	0.72289	3618	0	3
2021.10.01	12:00:00	0.72290	0.72434	0.72276	0.72338	2981	0	3
2021.10.01	13:00:00	0.72338	0.72468	0.72319	0.72374	2258	0	3
2021.10.01	14:00:00	0.72374	0.72603	0.72371	0.72594	3244	0	3
2021.10.01	15:00:00	0.72595	0.72611	0.72463	0.72575	4060	0	3
2021.10.01	16:00:00	0.72575	0.72702	0.72561	0.72620	5424	0	3
2021.10.01	17:00:00	0.72626	0.72741	0.72538	0.72579	7939	0	3
2021.10.01	18:00:00	0.72577	0.72735	0.72488	0.72697	4630	0	3
2021.10.01	19:00:00	0.72698	0.72753	0.72668	0.72695	2976	0	3
2021.10.01	20:00:00	0.72696	0.72766	0.72672	0.72734	2209	0	3
2021.10.01	21:00:00	0.72735	0.72741	0.72656	0.72657	1466	0	3
2021.10.01	22:00:00	0.72659	0.72725	0.72628	0.72665	1979	0	3
2021.10.01	23:00:00	0.72670	0.72690	0.72607	0.72615	674	0	8
2021.10.04	00:00:00	0.72502	0.72645	0.72502	0.72589	441	0	19
2021.10.04	01:00:00	0.72609	0.72822	0.72608	0.72766	1402	0	10
2021.10.04	02:00:00	0.72767	0.72809	0.72745	0.72746	1100	0	4
2021.10.04	03:00:00	0.72744	0.72823	0.72645	0.72656	1995	0	3
2021.10.04	04:00:00	0.72657	0.72682	0.72515	0.72568	2795	0	3
2021.10.04	05:00:00	0.72567	0.72649	0.72521	0.72610	2205	0	3
2021.10.04	06:00:00	0.72610	0.72650	0.72573	0.72617	1466	0	3
2021.10.04	07:00:00	0.72616	0.72720	0.72604	0.72710	1260	0	3
2021.10.04	08:00:00	0.72712	0.72755	0.72665	0.72685	1392	0	3
2021.10.04	09:00:00	0.72683	0.72724	0.72590	0.72616	3114	0	3
2021.10.04	10:00:00	0.72616	0.72659	0.72515	0.72648	5108	0	3
2021.10.04	11:00:00	0.72648	0.72700	0.72509	0.72629	3089	0	3
2021.10.04	12:00:00	0.72630	0.72771	0.72623	0.72683	2743	0	3
2021.10.04	13:00:00	0.72684	0.72795	0.72667	0.72774	2164	0	3
2021.10.04	14:00:00	0.72774	0.72889	0.72738	0.72885	2356	0	3
2021.10.04	15:00:00	0.72886	0.72965	0.72866	0.72922	2757	0	3
2021.10.04	16:00:00	0.72922	0.72995	0.72850	0.72979	4092	0	3
2021.10.04	17:00:00	0.72978	0.73036	0.72757	0.72813	6367	0	3
2021.10.04	18:00:00	0.72809	0.72842	0.72719	0.72821	4485	0	3
2021.10.04	19:00:00	0.72821	0.72884	0.72802	0.72853	2513	0	3
2021.10.04	20:00:00	0.72850	0.72885	0.72822	0.72834	2071	0	3
2021.10.04	21:00:00	0.72834	0.72908	0.72807	0.72896	3207	0	3
2021.10.04	22:00:00	0.72895	0.72913	0.72817	0.72886	3401	0	3
2021.10.04	23:00:00	0.72886	0.72902	0.72862	0.72865	635	0	7
2021.10.05	00:00:00	0.72854	0.72882	0.72820	0.72872	376	0	23
2021.10.05	01:00:00	0.72881	0.72934	0.72867	0.72915	451	0	11
2021.10.05	02:00:00	0.72915	0.72940	0.72853	0.72889	706	0	3
2021.10.05	03:00:00	0.72890	0.72933	0.72769	0.72782	2458	0	3
2021.10.05	04:00:00	0.72781	0.72800	0.72620	0.72654	3157	0	3
2021.10.05	05:00:00	0.72654	0.72777	0.72626	0.72752	2379	0	3
2021.10.05	06:00:00	0.72752	0.72772	0.72637	0.72671	2027	0	3
2021.10.05	07:00:00	0.72671	0.72679	0.72595	0.72650	1377	0	3
2021.10.05	08:00:00	0.72649	0.72673	0.72521	0.72566	2042	0	3
2021.10.05	09:00:00	0.72569	0.72636	0.72487	0.72593	2774	0	3
2021.10.05	10:00:00	0.72593	0.72733	0.72555	0.72680	3673	0	3
2021.10.05	11:00:00	0.72682	0.72800	0.72670	0.72789	2149	0	3
2021.10.05	12:00:00	0.72789	0.72820	0.72748	0.72805	1482	0	3
2021.10.05	13:00:00	0.72805	0.72821	0.72658	0.72673	1644	0	3
2021.10.05	14:00:00	0.72673	0.72802	0.72655	0.72789	2064	0	3
2021.10.05	15:00:00	0.72788	0.72872	0.72782	0.72819	2020	0	3
2021.10.05	16:00:00	0.72820	0.72838	0.72672	0.72817	5242	0	3
2021.10.05	17:00:00	0.72816	0.72940	0.72771	0.72820	4471	0	3
2021.10.05	18:00:00	0.72821	0.72981	0.72781	0.72949	3048	0	3
2021.10.05	19:00:00	0.72951	0.72959	0.72871	0.72944	1617	0	3
2021.10.05	20:00:00	0.72945	0.72992	0.72932	0.72989	1116	0	3
2021.10.05	21:00:00	0.72988	0.73007	0.72909	0.72909	983	0	3
