<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.01.02	1.01750	1.02384	1.01332	1.02233	43846	52558951000	0
2017.01.03	1.02250	1.03348	1.01923	1.02700	131396	86935767000	9
2017.01.04	1.02752	1.02905	1.02005	1.02009	150740	135992016000	0
2017.01.05	1.02003	1.02206	1.00864	1.00958	173824	122367534000	9
2017.01.06	1.00951	1.01836	1.00888	1.01692	138058	89205599000	9
2017.01.09	1.01700	1.01970	1.01411	1.01468	109805	76941072000	9
2017.01.10	1.01479	1.01777	1.01100	1.01653	131772	97270896000	0
2017.01.11	1.01674	1.02479	1.01007	1.01393	163150	108012260000	0
2017.01.12	1.01386	1.01489	1.00558	1.01053	170261	118649735000	0
2017.01.13	1.01028	1.01212	1.00415	1.00752	128855	81692721000	0
2017.01.16	1.00936	1.01359	1.00886	1.01144	87308	67153160000	0
2017.01.17	1.01070	1.01196	0.99957	1.00120	141679	100851442000	9
2017.01.18	1.00147	1.00748	1.00076	1.00689	113414	89142776000	0
2017.01.19	1.00651	1.01216	1.00413	1.00599	150461	129424545000	9
2017.01.20	1.00524	1.00933	1.00018	1.00018	151991	143919631000	9
2017.01.23	1.00077	1.00229	0.99590	0.99597	137332	128529617000	0
2017.01.24	0.99613	1.00187	0.99569	1.00077	121199	119169938000	0
2017.01.25	1.00089	1.00257	0.99656	0.99908	119195	105854006000	0
2017.01.26	0.99880	1.00258	0.99679	0.99952	124303	107719511000	0
2017.01.27	0.99858	1.00273	0.99690	0.99898	114746	112277857000	0
2017.01.30	0.99649	1.00442	0.99333	0.99485	116873	109914705000	0
2017.01.31	0.99470	0.99657	0.98610	0.98875	138721	129721315000	0
2017.02.01	0.98917	0.99551	0.98834	0.99262	116134	113016068000	0
2017.02.02	0.99240	0.99379	0.98693	0.99258	116804	118091516000	0
2017.02.03	0.99256	0.99850	0.99064	0.99176	109251	104834107000	0
2017.02.06	0.99081	0.99611	0.99034	0.99045	109106	95277187000	9
2017.02.07	0.99055	1.00063	0.99033	0.99725	109897	88680914000	0
2017.02.08	0.99715	0.99992	0.99297	0.99442	111984	100899807000	9
2017.02.09	0.99435	1.00185	0.99360	1.00133	105081	97357651000	9
2017.02.10	1.00120	1.00619	1.00082	1.00145	104919	99254606000	0
2017.02.13	1.00233	1.00688	1.00185	1.00543	92720	87278269000	0
2017.02.14	1.00522	1.00842	1.00306	1.00586	105485	98089127000	0
2017.02.15	1.00593	1.01182	1.00468	1.00496	102384	100481712000	0
2017.02.16	1.00489	1.00565	0.99661	0.99674	105116	105721626000	9
2017.02.17	0.99689	1.00332	0.99648	1.00214	88660	82749128000	0
2017.02.20	1.00230	1.00440	1.00110	1.00235	70837	66339755000	0
2017.02.21	1.00237	1.01052	1.00203	1.00930	88595	86683936000	0
2017.02.22	1.00917	1.01405	1.00773	1.01033	102713	105116250000	0
2017.02.23	1.00970	1.01158	1.00535	1.00600	89102	89401856000	0
2017.02.24	1.00587	1.00803	1.00249	1.00667	89257	87709777000	9
2017.02.27	1.00691	1.00977	1.00455	1.00880	90280	89796174000	0
2017.02.28	1.00880	1.01013	1.00087	1.00571	96107	89631547000	0
2017.03.01	1.00519	1.01287	1.00519	1.00858	106196	94291556000	0
2017.03.02	1.00855	1.01458	1.00840	1.01326	83981	82962717000	0
2017.03.03	1.01328	1.01369	1.00665	1.00665	100493	102024050000	9
2017.03.06	1.00799	1.01290	1.00724	1.01181	87400	79290478000	0
2017.03.07	1.01237	1.01700	1.01066	1.01315	74509	72100110000	0
2017.03.08	1.01296	1.01541	1.01214	1.01439	81595	76084415000	0
2017.03.09	1.01437	1.01603	1.00914	1.01202	104565	95719453000	0
2017.03.10	1.01198	1.01372	1.00783	1.00958	105808	92659454000	9
2017.03.13	1.00983	1.01163	1.00600	1.00725	87426	75640301000	0
2017.03.14	1.00716	1.01077	1.00685	1.00979	79702	68850996000	9
2017.03.15	1.00978	1.01003	0.99852	1.00041	91259	79646354000	0
2017.03.16	1.00041	1.00115	0.99506	0.99593	99833	87080128000	9
2017.03.17	0.99595	0.99863	0.99420	0.99826	70320	60333544000	0
2017.03.20	0.99744	0.99902	0.99564	0.99865	69920	58545899000	9
2017.03.21	0.99859	1.00021	0.99214	0.99398	90823	79257171000	9
2017.03.22	0.99398	0.99457	0.98814	0.99163	88000	77223876000	9
2017.03.23	0.99162	0.99415	0.99115	0.99310	86471	78670920000	0
2017.03.24	0.99307	0.99590	0.98887	0.99109	80429	69844139000	9
2017.03.27	0.98828	0.98951	0.98131	0.98537	79813	68313586000	0
2017.03.28	0.98497	0.99345	0.98311	0.99231	75582	65180374000	0
2017.03.29	0.99232	0.99756	0.99127	0.99630	80745	68664575000	0
2017.03.30	0.99625	1.00134	0.99482	1.00098	83646	66725840000	9
