<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.01.02	1.34205	1.34522	1.33661	1.34331	65448	72764289000	0
2017.01.03	1.34306	1.34602	1.33981	1.34257	148210	122706393000	9
2017.01.04	1.34249	1.34569	1.32813	1.32999	168618	128384977000	0
2017.01.05	1.32993	1.33126	1.31911	1.32233	182673	128038586000	0
2017.01.06	1.32211	1.32676	1.31769	1.32346	166880	114436973000	0
2017.01.09	1.32394	1.32768	1.31965	1.32144	130489	94988360000	0
2017.01.10	1.32167	1.32569	1.31915	1.32304	142090	96892391000	0
2017.01.11	1.32269	1.32939	1.31187	1.31799	189853	135271941000	0
2017.01.12	1.31777	1.31849	1.30290	1.31431	177976	120771620000	0
2017.01.13	1.31418	1.31674	1.31106	1.31110	156040	101239181000	0
2017.01.16	1.31301	1.31874	1.31179	1.31722	108577	78446153000	0
2017.01.17	1.31719	1.31890	1.30181	1.30400	179640	109966283000	0
2017.01.18	1.30401	1.32708	1.30307	1.32679	162438	110026873000	0
2017.01.19	1.32678	1.33529	1.32519	1.33165	181147	130554818000	0
2017.01.20	1.33131	1.33871	1.32836	1.33122	171064	118955861000	9
2017.01.23	1.33139	1.33345	1.32207	1.32345	161822	113951812000	9
2017.01.24	1.32320	1.32989	1.31054	1.31573	156524	107060149000	0
2017.01.25	1.31531	1.31630	1.30607	1.30696	151476	99856965000	0
2017.01.26	1.30702	1.31302	1.30529	1.30873	147893	93488347000	0
2017.01.27	1.30866	1.31532	1.30828	1.31496	134884	85553877000	0
2017.01.30	1.31296	1.31687	1.30761	1.31154	150239	112326464000	0
2017.01.31	1.31172	1.31233	1.29682	1.30285	173600	113782751000	0
2017.02.01	1.30249	1.31021	1.30239	1.30476	162905	109657240000	0
2017.02.02	1.30384	1.30510	1.29799	1.30239	157095	117083864000	9
2017.02.03	1.30237	1.30764	1.29918	1.30208	145566	109420433000	0
2017.02.06	1.30236	1.31351	1.30066	1.30835	133458	98500450000	0
2017.02.07	1.30781	1.32116	1.30734	1.31820	131823	93232512000	0
2017.02.08	1.31790	1.32000	1.31341	1.31431	132713	99557187000	0
2017.02.09	1.31422	1.31678	1.30939	1.31436	116084	88036887000	0
2017.02.10	1.31425	1.31577	1.30625	1.30730	122621	97434016000	9
2017.02.13	1.30808	1.31208	1.30536	1.30705	105064	85271370000	0
2017.02.14	1.30707	1.31066	1.30242	1.30731	117988	91745097000	0
2017.02.15	1.30703	1.31198	1.30639	1.30761	122535	94872929000	0
2017.02.16	1.30756	1.30800	1.30087	1.30691	121161	95468142000	0
2017.02.17	1.30641	1.31259	1.30597	1.30824	103934	78395400000	9
2017.02.20	1.30914	1.31190	1.30737	1.31030	71718	58344481000	0
2017.02.21	1.30995	1.31644	1.30973	1.31383	97775	82520485000	0
2017.02.22	1.31373	1.32093	1.31095	1.31636	102341	86964851000	0
2017.02.23	1.31563	1.31698	1.30821	1.31029	97820	83659682000	0
2017.02.24	1.31013	1.31182	1.30556	1.30876	95237	75667685000	0
2017.02.27	1.30957	1.31804	1.30830	1.31783	99429	83279788000	0
2017.02.28	1.31768	1.33137	1.31641	1.32999	105603	83717686000	0
2017.03.01	1.32905	1.33572	1.32837	1.33246	126965	100253243000	0
2017.03.02	1.33227	1.34015	1.33211	1.33901	103119	88979536000	0
2017.03.03	1.33826	1.34366	1.33680	1.33680	110455	95594962000	9
2017.03.06	1.33681	1.34244	1.33681	1.34079	96847	75428906000	0
2017.03.07	1.34006	1.34350	1.33826	1.34125	95368	81071354000	9
2017.03.08	1.34034	1.34996	1.33969	1.34880	112770	90590326000	0
2017.03.09	1.34842	1.35345	1.34821	1.35099	133359	106057088000	9
2017.03.10	1.35098	1.35142	1.34208	1.34689	125216	94225722000	9
2017.03.13	1.34554	1.34757	1.34301	1.34455	100486	81638194000	0
2017.03.14	1.34455	1.34950	1.34386	1.34821	103295	80769912000	9
2017.03.15	1.34823	1.34841	1.32950	1.33002	117569	89842441000	9
2017.03.16	1.33007	1.33522	1.32758	1.33130	118811	96859389000	0
2017.03.17	1.33133	1.33773	1.33038	1.33412	91942	76214787000	9
2017.03.20	1.33446	1.33727	1.33033	1.33539	90836	74049645000	9
2017.03.21	1.33536	1.33644	1.32632	1.33533	115806	96765590000	0
2017.03.22	1.33530	1.34089	1.33197	1.33326	112439	90696092000	9
2017.03.23	1.33327	1.33566	1.33156	1.33527	99722	84062176000	0
2017.03.24	1.33529	1.33853	1.33459	1.33765	94750	73219673000	9
2017.03.27	1.33537	1.34032	1.33207	1.33753	98614	74901469000	0
2017.03.28	1.33707	1.34140	1.33537	1.33812	87601	67935783000	0
2017.03.29	1.33804	1.34006	1.33221	1.33246	95447	74432016000	0
2017.03.30	1.33232	1.33515	1.32771	1.33363	97561	77756885000	0
