<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.01.04	1.27198	1.27976	1.26654	1.27739	93280	0	0
2021.01.05	1.27756	1.27911	1.26560	1.26670	99161	0	0
2021.01.06	1.26673	1.27239	1.26302	1.26738	145698	0	0
2021.01.07	1.26740	1.27339	1.26635	1.26898	93106	0	0
2021.01.08	1.26900	1.27431	1.26588	1.26931	107755	0	0
2021.01.11	1.26990	1.28354	1.26930	1.27827	84229	0	0
2021.01.12	1.27829	1.27916	1.27084	1.27086	79853	0	0
2021.01.13	1.27082	1.27468	1.26805	1.26948	72777	0	0
2021.01.14	1.26946	1.27077	1.26248	1.26378	78844	0	0
2021.01.15	1.26369	1.27643	1.26297	1.27403	83402	0	0
2021.01.18	1.27260	1.27992	1.27260	1.27524	66469	0	0
2021.01.19	1.27530	1.27641	1.27153	1.27322	66787	0	0
2021.01.20	1.27325	1.27411	1.26065	1.26319	75148	0	0
2021.01.21	1.26314	1.26473	1.25889	1.26368	73403	0	0
2021.01.22	1.26351	1.27403	1.26320	1.27328	63537	0	0
2021.01.25	1.27055	1.27790	1.26875	1.27374	63089	0	0
2021.01.26	1.27378	1.27823	1.26898	1.26899	52859	0	0
2021.01.27	1.26904	1.28227	1.26852	1.28000	87280	0	0
2021.01.28	1.28003	1.28813	1.27839	1.28282	94137	0	0
2021.01.29	1.28281	1.28746	1.27379	1.27811	104825	0	0
2021.02.01	1.27840	1.28644	1.27614	1.28519	89627	0	0
2021.02.02	1.28521	1.28697	1.27802	1.27803	73813	0	0
2021.02.03	1.27803	1.28115	1.27631	1.27838	65926	0	0
2021.02.04	1.27839	1.28451	1.27773	1.28250	66181	0	0
2021.02.05	1.28241	1.28329	1.27605	1.27615	76069	0	0
2021.02.08	1.27560	1.27827	1.27347	1.27360	72573	0	0
2021.02.09	1.27356	1.27662	1.26913	1.26914	69122	0	0
2021.02.10	1.26910	1.27107	1.26675	1.26998	62917	0	0
2021.02.11	1.26993	1.27110	1.26606	1.27038	61817	0	0
2021.02.12	1.27023	1.27631	1.26768	1.26903	62442	0	2
2021.02.15	1.26820	1.26912	1.26309	1.26359	41388	0	1
2021.02.16	1.26418	1.27023	1.26097	1.26884	76834	0	2
2021.02.17	1.26874	1.27461	1.26800	1.27021	90832	0	3
2021.02.18	1.27015	1.27307	1.26651	1.26737	82700	0	3
2021.02.19	1.26760	1.27138	1.25943	1.26162	83413	0	3
2021.02.22	1.26110	1.26537	1.25801	1.26124	99041	0	3
2021.02.23	1.26123	1.26473	1.25788	1.25851	97137	0	3
2021.02.24	1.25841	1.25984	1.25052	1.25112	111595	0	3
2021.02.25	1.25108	1.26144	1.24677	1.26010	133054	0	3
2021.02.26	1.26013	1.27432	1.25870	1.27324	169964	0	3
2021.03.01	1.27262	1.27371	1.26405	1.26453	103250	0	3
2021.03.02	1.26460	1.26980	1.26003	1.26362	94385	0	3
2021.03.03	1.26362	1.26583	1.25930	1.26537	83060	0	2
2021.03.04	1.26538	1.26935	1.25750	1.26649	116318	0	3
2021.03.05	1.26649	1.27372	1.26457	1.26499	116238	0	2
2021.03.08	1.26450	1.26999	1.26219	1.26617	133637	0	3
2021.03.09	1.26624	1.26854	1.25906	1.26348	117523	0	3
2021.03.10	1.26351	1.26834	1.26097	1.26153	106813	0	3
