<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.04.01	01:00:00	3978.6	3978.9	3977.4	3978.4	88	0	7
2021.04.01	02:00:00	3978.4	3980.6	3975.6	3980.6	530	0	7
2021.04.01	03:00:00	3980.6	3983.1	3977.4	3982.1	715	0	7
2021.04.01	04:00:00	3982.1	3982.4	3977.1	3979.4	778	0	7
2021.04.01	05:00:00	3979.4	3982.9	3974.4	3976.4	823	0	7
2021.04.01	06:00:00	3976.6	3978.1	3975.1	3977.6	612	0	7
2021.04.01	07:00:00	3977.6	3979.3	3976.4	3978.4	337	0	7
2021.04.01	08:00:00	3978.1	3981.6	3977.4	3979.6	594	0	7
2021.04.01	09:00:00	3979.6	3986.1	3978.6	3985.9	642	0	7
2021.04.01	10:00:00	3985.6	3990.4	3982.4	3989.6	1268	0	7
2021.04.01	11:00:00	3989.6	3993.1	3988.6	3992.9	853	0	7
2021.04.01	12:00:00	3992.9	3994.1	3989.9	3990.4	556	0	7
2021.04.01	13:00:00	3990.6	3990.6	3986.4	3986.4	409	0	7
2021.04.01	14:00:00	3986.4	3992.6	3986.4	3992.1	341	0	7
2021.04.01	15:00:00	3992.1	3995.1	3991.1	3994.6	530	0	7
2021.04.01	16:00:00	3994.6	4001.1	3992.6	3997.5	1595	0	7
2021.04.01	17:00:00	3998.1	4006.9	3996.1	4006.9	1740	0	7
2021.04.01	18:00:00	4006.9	4010.4	4004.7	4005.7	1538	0	7
2021.04.01	19:00:00	4005.4	4012.4	4005.4	4011.4	832	0	7
2021.04.01	20:00:00	4011.7	4012.7	4007.4	4010.7	906	0	7
2021.04.01	21:00:00	4010.7	4013.9	4010.2	4013.4	513	0	7
2021.04.01	22:00:00	4013.2	4020.6	4008.4	4019.4	1281	0	7
2021.04.02	01:00:00	4023.7	4025.0	4023.7	4024.7	97	0	7
2021.04.02	02:00:00	4024.7	4026.7	4024.5	4026.0	272	0	7
2021.04.02	03:00:00	4026.0	4026.5	4025.0	4026.0	211	0	7
2021.04.02	04:00:00	4026.0	4026.7	4024.7	4025.5	181	0	7
2021.04.02	05:00:00	4025.5	4026.7	4024.2	4026.2	156	0	8
2021.04.02	06:00:00	4026.2	4026.2	4025.7	4026.2	93	0	7
2021.04.02	07:00:00	4026.5	4026.5	4026.0	4026.5	39	0	7
2021.04.02	08:00:00	4026.5	4028.7	4025.5	4028.2	134	0	7
2021.04.02	09:00:00	4028.2	4030.7	4028.2	4029.2	185	0	7
2021.04.02	10:00:00	4029.2	4030.2	4029.0	4029.5	255	0	7
2021.04.02	11:00:00	4029.6	4031.7	4027.9	4031.7	272	0	7
2021.04.02	12:00:00	4031.2	4031.2	4029.2	4030.7	163	0	7
2021.04.02	13:00:00	4030.7	4031.5	4028.2	4031.5	206	0	7
2021.04.02	14:00:00	4031.5	4032.2	4030.2	4032.2	212	0	7
2021.04.02	15:00:00	4032.2	4047.7	4031.0	4042.0	1917	0	7
2021.04.02	16:00:00	4041.7	4042.1	4035.5	4037.0	1023	0	7
2021.04.02	19:00:00	4037.0	4037.0	4037.0	4037.0	1	0	8
2021.04.05	01:00:00	4035.0	4035.7	4032.0	4034.0	340	0	7
2021.04.05	02:00:00	4034.0	4043.0	4033.7	4041.7	517	0	7
2021.04.05	03:00:00	4041.7	4042.0	4038.0	4040.5	679	0	7
2021.04.05	04:00:00	4040.5	4040.7	4038.0	4039.2	269	0	7
2021.04.05	05:00:00	4039.2	4040.0	4035.5	4035.5	364	0	7
2021.04.05	06:00:00	4035.5	4037.5	4035.5	4037.0	210	0	7
2021.04.05	07:00:00	4037.0	4037.7	4036.0	4036.0	198	0	7
2021.04.05	08:00:00	4036.0	4036.7	4033.7	4034.0	196	0	7
2021.04.05	09:00:00	4034.0	4034.2	4030.5	4034.0	378	0	7
2021.04.05	10:00:00	4034.0	4035.5	4032.7	4035.2	313	0	7
2021.04.05	11:00:00	4035.2	4039.2	4034.5	4037.7	343	0	7
2021.04.05	12:00:00	4037.7	4041.5	4036.7	4040.5	262	0	7
2021.04.05	13:00:00	4040.5	4042.5	4039.0	4041.2	362	0	7
2021.04.05	14:00:00	4041.2	4043.2	4040.2	4041.5	333	0	7
2021.04.05	15:00:00	4041.7	4047.2	4040.5	4046.5	471	0	7
2021.04.05	16:00:00	4046.5	4059.2	4045.5	4058.7	1282	0	7
2021.04.05	17:00:00	4059.0	4073.5	4055.7	4069.7	1287	0	7
2021.04.05	18:00:00	4070.0	4078.5	4068.2	4075.7	945	0	7
2021.04.05	19:00:00	4075.5	4082.9	4075.1	4076.9	640	0	7
2021.04.05	20:00:00	4076.6	4079.4	4074.4	4079.1	699	0	7
2021.04.05	21:00:00	4078.9	4081.4	4074.5	4074.5	831	0	7
2021.04.05	22:00:00	4074.5	4081.5	4070.7	4076.5	2054	0	7
2021.04.06	01:00:00	4078.5	4083.5	4077.8	4082.5	221	0	7
2021.04.06	02:00:00	4082.3	4083.5	4080.0	4080.5	392	0	7
2021.04.06	03:00:00	4080.5	4081.0	4075.0	4076.3	743	0	7
2021.04.06	04:00:00	4076.3	4077.3	4070.5	4071.0	644	0	7
2021.04.06	05:00:00	4071.3	4072.0	4069.8	4071.8	421	0	7
2021.04.06	06:00:00	4072.0	4072.8	4066.3	4069.0	429	0	7
2021.04.06	07:00:00	4069.0	4070.8	4067.8	4068.8	332	0	7
2021.04.06	08:00:00	4068.8	4070.8	4067.5	4070.5	399	0	7
2021.04.06	09:00:00	4070.3	4072.7	4067.8	4071.0	840	0	7
