<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.04.01	00:00:00	1.25618	1.25674	1.25578	1.25616	534	0	12
2021.04.01	01:00:00	1.25615	1.25640	1.25567	1.25604	947	0	3
2021.04.01	02:00:00	1.25603	1.25681	1.25602	1.25645	999	0	3
2021.04.01	03:00:00	1.25630	1.25743	1.25577	1.25591	2561	0	3
2021.04.01	04:00:00	1.25592	1.25831	1.25567	1.25800	2535	0	3
2021.04.01	05:00:00	1.25800	1.25886	1.25755	1.25852	2166	0	3
2021.04.01	06:00:00	1.25850	1.25897	1.25816	1.25892	1621	0	3
2021.04.01	07:00:00	1.25896	1.25991	1.25872	1.25927	1862	0	3
2021.04.01	08:00:00	1.25927	1.26012	1.25923	1.25987	2117	0	3
2021.04.01	09:00:00	1.25987	1.26020	1.25843	1.25895	3988	0	3
2021.04.01	10:00:00	1.25892	1.25997	1.25728	1.25728	4787	0	3
2021.04.01	11:00:00	1.25728	1.25877	1.25716	1.25873	3458	0	3
2021.04.01	12:00:00	1.25874	1.25894	1.25747	1.25799	2732	0	3
2021.04.01	13:00:00	1.25798	1.25909	1.25751	1.25904	2564	0	3
2021.04.01	14:00:00	1.25905	1.25962	1.25860	1.25919	3545	0	3
2021.04.01	15:00:00	1.25915	1.25956	1.25752	1.25782	4270	0	3
2021.04.01	16:00:00	1.25779	1.25794	1.25676	1.25713	5455	0	3
2021.04.01	17:00:00	1.25710	1.25863	1.25684	1.25726	5103	0	3
2021.04.01	18:00:00	1.25726	1.25730	1.25608	1.25691	3772	0	3
2021.04.01	19:00:00	1.25691	1.25698	1.25517	1.25657	2655	0	3
2021.04.01	20:00:00	1.25656	1.25665	1.25460	1.25499	2637	0	3
2021.04.01	21:00:00	1.25501	1.25549	1.25461	1.25488	1799	0	3
2021.04.01	22:00:00	1.25488	1.25600	1.25449	1.25451	2582	0	3
2021.04.01	23:00:00	1.25451	1.25524	1.25420	1.25456	1430	0	3
2021.04.02	00:00:00	1.25432	1.25474	1.25399	1.25404	242	0	11
2021.04.02	01:00:00	1.25404	1.25451	1.25395	1.25447	623	0	3
2021.04.02	02:00:00	1.25447	1.25482	1.25442	1.25471	390	0	3
2021.04.02	03:00:00	1.25471	1.25471	1.25324	1.25330	1242	0	3
2021.04.02	04:00:00	1.25330	1.25349	1.25292	1.25332	736	0	3
2021.04.02	05:00:00	1.25331	1.25343	1.25301	1.25303	662	0	3
2021.04.02	06:00:00	1.25301	1.25312	1.25279	1.25308	677	0	3
2021.04.02	07:00:00	1.25308	1.25344	1.25297	1.25318	603	0	3
2021.04.02	08:00:00	1.25318	1.25367	1.25280	1.25343	632	0	3
2021.04.02	09:00:00	1.25342	1.25506	1.25332	1.25500	856	0	3
2021.04.02	10:00:00	1.25500	1.25573	1.25491	1.25562	1096	0	3
2021.04.02	11:00:00	1.25562	1.25636	1.25549	1.25633	1018	0	3
2021.04.02	12:00:00	1.25633	1.25636	1.25582	1.25608	830	0	3
2021.04.02	13:00:00	1.25608	1.25609	1.25555	1.25561	1023	0	3
2021.04.02	14:00:00	1.25559	1.25646	1.25545	1.25607	889	0	3
2021.04.02	15:00:00	1.25607	1.25746	1.25396	1.25452	2293	0	3
2021.04.02	16:00:00	1.25452	1.25632	1.25422	1.25612	1697	0	3
2021.04.02	17:00:00	1.25610	1.25720	1.25605	1.25658	1100	0	3
2021.04.02	18:00:00	1.25658	1.25738	1.25619	1.25654	1433	0	3
2021.04.02	19:00:00	1.25655	1.25689	1.25626	1.25675	619	0	2
2021.04.02	20:00:00	1.25661	1.25714	1.25608	1.25630	1487	0	7
2021.04.02	21:00:00	1.25631	1.25752	1.25617	1.25689	945	0	10
2021.04.02	22:00:00	1.25689	1.25712	1.25649	1.25689	530	0	15
2021.04.02	23:00:00	1.25687	1.25802	1.25637	1.25720	734	0	17
2021.04.05	00:00:00	1.25690	1.25767	1.25680	1.25767	299	0	43
2021.04.05	01:00:00	1.25869	1.25869	1.25676	1.25700	1243	0	3
2021.04.05	02:00:00	1.25700	1.25743	1.25632	1.25648	855	0	3
2021.04.05	03:00:00	1.25648	1.25712	1.25613	1.25645	1374	0	3
2021.04.05	04:00:00	1.25644	1.25700	1.25623	1.25645	1188	0	3
2021.04.05	05:00:00	1.25645	1.25735	1.25627	1.25725	1088	0	3
2021.04.05	06:00:00	1.25726	1.25727	1.25670	1.25715	906	0	3
2021.04.05	07:00:00	1.25714	1.25821	1.25712	1.25820	877	0	3
2021.04.05	08:00:00	1.25817	1.25934	1.25786	1.25934	1288	0	3
2021.04.05	09:00:00	1.25933	1.25944	1.25788	1.25803	1480	0	3
2021.04.05	10:00:00	1.25815	1.25878	1.25729	1.25743	1380	0	3
2021.04.05	11:00:00	1.25743	1.25764	1.25577	1.25605	1649	0	3
2021.04.05	12:00:00	1.25605	1.25638	1.25587	1.25618	1291	0	3
2021.04.05	13:00:00	1.25618	1.25624	1.25484	1.25494	1510	0	3
2021.04.05	14:00:00	1.25493	1.25529	1.25479	1.25492	1559	0	3
2021.04.05	15:00:00	1.25490	1.25504	1.25267	1.25293	2491	0	3
2021.04.05	16:00:00	1.25293	1.25390	1.25186	1.25219	3708	0	3
2021.04.05	17:00:00	1.25218	1.25232	1.25074	1.25187	4085	0	3
2021.04.05	18:00:00	1.25188	1.25217	1.25020	1.25118	3141	0	3
2021.04.05	19:00:00	1.25119	1.25350	1.25115	1.25340	2522	0	3
2021.04.05	20:00:00	1.25340	1.25372	1.25228	1.25234	3258	0	3
2021.04.05	21:00:00	1.25235	1.25264	1.25218	1.25240	2267	0	3
2021.04.05	22:00:00	1.25239	1.25317	1.25223	1.25241	2468	0	3
2021.04.05	23:00:00	1.25241	1.25266	1.25188	1.25232	1236	0	3
2021.04.06	00:00:00	1.25234	1.25266	1.25170	1.25228	1155	0	18
2021.04.06	01:00:00	1.25228	1.25239	1.25191	1.25196	707	0	3
2021.04.06	02:00:00	1.25193	1.25223	1.25170	1.25201	821	0	3
2021.04.06	03:00:00	1.25202	1.25281	1.25167	1.25260	1905	0	3
2021.04.06	04:00:00	1.25260	1.25281	1.25196	1.25261	1625	0	3
2021.04.06	05:00:00	1.25260	1.25341	1.25253	1.25320	1670	0	3
2021.04.06	06:00:00	1.25317	1.25434	1.25311	1.25399	1200	0	3
2021.04.06	07:00:00	1.25400	1.25413	1.25324	1.25400	1252	0	3
2021.04.06	08:00:00	1.25400	1.25409	1.25310	1.25322	1622	0	3
2021.04.06	09:00:00	1.25323	1.25440	1.25255	1.25422	2811	0	3
2021.04.06	10:00:00	1.25422	1.25544	1.25368	1.25369	2783	0	3
2021.04.06	11:00:00	1.25371	1.25508	1.25360	1.25433	3074	0	3
2021.04.06	12:00:00	1.25433	1.25564	1.25405	1.25545	2707	0	3
2021.04.06	13:00:00	1.25548	1.25623	1.25505	1.25613	2382	0	3
2021.04.06	14:00:00	1.25613	1.25753	1.25592	1.25671	2392	0	3
2021.04.06	15:00:00	1.25669	1.25695	1.25502	1.25609	3921	0	3
2021.04.06	16:00:00	1.25609	1.25637	1.25479	1.25489	4878	0	3
2021.04.06	17:00:00	1.25489	1.25588	1.25434	1.25484	5011	0	3
2021.04.06	18:00:00	1.25485	1.25534	1.25388	1.25409	3639	0	3
2021.04.06	19:00:00	1.25408	1.25525	1.25389	1.25499	2611	0	3
2021.04.06	20:00:00	1.25499	1.25752	1.25484	1.25726	2675	0	3
2021.04.06	21:00:00	1.25726	1.25787	1.25630	1.25766	2944	0	3
2021.04.06	22:00:00	1.25765	1.25828	1.25715	1.25715	3293	0	3
2021.04.06	23:00:00	1.25715	1.25730	1.25633	1.25633	1402	0	3
2021.04.07	00:00:00	1.25628	1.25700	1.25610	1.25688	339	0	27
2021.04.07	01:00:00	1.25688	1.25800	1.25662	1.25797	854	0	3
2021.04.07	02:00:00	1.25797	1.25816	1.25713	1.25719	1333	0	3
2021.04.07	03:00:00	1.25719	1.25815	1.25696	1.25790	2065	0	3
2021.04.07	04:00:00	1.25790	1.25820	1.25656	1.25818	3797	0	3
2021.04.07	05:00:00	1.25818	1.25884	1.25768	1.25873	2958	0	3
