<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.04.01	00:00:00	0.94349	0.94420	0.94322	0.94349	462	0	1
2021.04.01	01:00:00	0.94348	0.94421	0.94348	0.94399	896	0	1
2021.04.01	02:00:00	0.94398	0.94425	0.94381	0.94388	930	0	1
2021.04.01	03:00:00	0.94388	0.94482	0.94379	0.94460	1452	0	1
2021.04.01	04:00:00	0.94460	0.94473	0.94427	0.94433	1217	0	1
2021.04.01	05:00:00	0.94431	0.94518	0.94416	0.94490	1829	0	1
2021.04.01	06:00:00	0.94490	0.94523	0.94477	0.94523	1057	0	1
2021.04.01	07:00:00	0.94523	0.94585	0.94513	0.94579	1465	0	1
2021.04.01	08:00:00	0.94578	0.94592	0.94542	0.94572	1366	0	1
2021.04.01	09:00:00	0.94572	0.94601	0.94442	0.94511	2216	0	1
2021.04.01	10:00:00	0.94510	0.94665	0.94420	0.94549	4111	0	1
2021.04.01	11:00:00	0.94549	0.94690	0.94510	0.94678	2890	0	1
2021.04.01	12:00:00	0.94678	0.94727	0.94569	0.94627	3105	0	1
2021.04.01	13:00:00	0.94625	0.94642	0.94495	0.94594	1890	0	1
2021.04.01	14:00:00	0.94594	0.94681	0.94528	0.94575	2587	0	1
2021.04.01	15:00:00	0.94574	0.94580	0.94368	0.94421	2862	0	1
2021.04.01	16:00:00	0.94421	0.94470	0.94370	0.94442	3183	0	1
2021.04.01	17:00:00	0.94446	0.94532	0.94302	0.94322	3653	0	1
2021.04.01	18:00:00	0.94321	0.94367	0.94073	0.94094	1973	0	1
2021.04.01	19:00:00	0.94094	0.94113	0.94044	0.94107	1236	0	1
2021.04.01	20:00:00	0.94107	0.94183	0.94102	0.94133	1201	0	1
2021.04.01	21:00:00	0.94133	0.94210	0.94130	0.94199	899	0	1
2021.04.01	22:00:00	0.94200	0.94211	0.94162	0.94167	712	0	2
2021.04.01	23:00:00	0.94164	0.94207	0.94156	0.94156	642	0	2
2021.04.02	00:00:00	0.94154	0.94217	0.94102	0.94155	372	0	24
2021.04.02	01:00:00	0.94155	0.94189	0.94155	0.94185	405	0	5
2021.04.02	02:00:00	0.94183	0.94223	0.94183	0.94214	320	0	2
2021.04.02	03:00:00	0.94209	0.94215	0.94163	0.94204	623	0	2
2021.04.02	04:00:00	0.94205	0.94227	0.94193	0.94208	548	0	1
2021.04.02	05:00:00	0.94207	0.94217	0.94155	0.94156	580	0	1
2021.04.02	06:00:00	0.94154	0.94175	0.94138	0.94170	882	0	1
2021.04.02	07:00:00	0.94170	0.94175	0.94160	0.94172	667	0	3
2021.04.02	08:00:00	0.94163	0.94166	0.94128	0.94145	445	0	2
2021.04.02	09:00:00	0.94145	0.94175	0.94128	0.94163	428	0	2
2021.04.02	10:00:00	0.94163	0.94234	0.94124	0.94138	719	0	1
2021.04.02	11:00:00	0.94138	0.94163	0.94083	0.94097	625	0	1
2021.04.02	12:00:00	0.94099	0.94112	0.94079	0.94096	550	0	1
2021.04.02	13:00:00	0.94096	0.94097	0.94054	0.94068	437	0	1
2021.04.02	14:00:00	0.94069	0.94148	0.94049	0.94132	661	0	1
2021.04.02	15:00:00	0.94133	0.94219	0.94080	0.94180	1536	0	1
2021.04.02	16:00:00	0.94182	0.94339	0.94139	0.94162	1168	0	1
2021.04.02	17:00:00	0.94161	0.94277	0.94160	0.94272	829	0	1
2021.04.02	18:00:00	0.94272	0.94294	0.94181	0.94186	1148	0	1
2021.04.02	19:00:00	0.94190	0.94291	0.94115	0.94227	742	0	9
2021.04.02	20:00:00	0.94229	0.94277	0.94100	0.94196	786	0	36
2021.04.02	21:00:00	0.94206	0.94272	0.94102	0.94194	1352	0	14
2021.04.02	22:00:00	0.94177	0.94281	0.94073	0.94194	881	0	18
2021.04.02	23:00:00	0.94192	0.94290	0.94100	0.94204	267	0	77
2021.04.05	00:00:00	0.94169	0.94291	0.94169	0.94274	172	0	77
2021.04.05	01:00:00	0.94272	0.94294	0.94204	0.94275	1552	0	12
2021.04.05	02:00:00	0.94273	0.94311	0.94205	0.94205	959	0	3
2021.04.05	03:00:00	0.94215	0.94264	0.94206	0.94230	795	0	1
2021.04.05	04:00:00	0.94231	0.94235	0.94162	0.94180	1890	0	1
2021.04.05	05:00:00	0.94181	0.94250	0.94178	0.94239	1579	0	1
2021.04.05	06:00:00	0.94239	0.94263	0.94222	0.94227	982	0	1
2021.04.05	07:00:00	0.94227	0.94308	0.94226	0.94306	1380	0	1
2021.04.05	08:00:00	0.94308	0.94343	0.94294	0.94341	941	0	1
2021.04.05	09:00:00	0.94343	0.94376	0.94321	0.94376	750	0	1
2021.04.05	10:00:00	0.94367	0.94385	0.94270	0.94312	1099	0	1
2021.04.05	11:00:00	0.94312	0.94323	0.94216	0.94282	1037	0	1
2021.04.05	12:00:00	0.94286	0.94330	0.94281	0.94315	792	0	1
2021.04.05	13:00:00	0.94315	0.94367	0.94259	0.94268	738	0	1
2021.04.05	14:00:00	0.94267	0.94271	0.94222	0.94241	866	0	1
2021.04.05	15:00:00	0.94241	0.94271	0.94005	0.94041	1871	0	1
2021.04.05	16:00:00	0.94037	0.94055	0.93789	0.93849	2496	0	1
2021.04.05	17:00:00	0.93847	0.93859	0.93540	0.93693	3753	0	1
2021.04.05	18:00:00	0.93693	0.93723	0.93545	0.93596	1914	0	1
2021.04.05	19:00:00	0.93597	0.93630	0.93591	0.93600	865	0	1
2021.04.05	20:00:00	0.93602	0.93657	0.93602	0.93643	1439	0	1
2021.04.05	21:00:00	0.93643	0.93662	0.93616	0.93622	1138	0	1
2021.04.05	22:00:00	0.93622	0.93651	0.93618	0.93631	875	0	1
2021.04.05	23:00:00	0.93631	0.93652	0.93611	0.93615	524	0	1
2021.04.06	00:00:00	0.93611	0.93644	0.93519	0.93583	543	0	27
2021.04.06	01:00:00	0.93581	0.93651	0.93581	0.93642	463	0	2
2021.04.06	02:00:00	0.93642	0.93645	0.93605	0.93608	785	0	1
2021.04.06	03:00:00	0.93608	0.93713	0.93583	0.93707	625	0	1
2021.04.06	04:00:00	0.93707	0.93739	0.93692	0.93721	876	0	1
2021.04.06	05:00:00	0.93721	0.93819	0.93715	0.93773	1315	0	1
2021.04.06	06:00:00	0.93772	0.93832	0.93772	0.93817	1064	0	1
2021.04.06	07:00:00	0.93817	0.93824	0.93728	0.93734	1087	0	1
2021.04.06	08:00:00	0.93735	0.93743	0.93698	0.93725	762	0	1
2021.04.06	09:00:00	0.93722	0.93845	0.93693	0.93835	1213	0	1
2021.04.06	10:00:00	0.93833	0.93882	0.93696	0.93705	1887	0	1
2021.04.06	11:00:00	0.93707	0.93958	0.93703	0.93782	2298	0	1
2021.04.06	12:00:00	0.93781	0.93910	0.93717	0.93832	1900	0	1
2021.04.06	13:00:00	0.93831	0.93893	0.93746	0.93861	1513	0	1
2021.04.06	14:00:00	0.93861	0.93915	0.93773	0.93798	1654	0	1
2021.04.06	15:00:00	0.93797	0.93817	0.93499	0.93531	3265	0	1
2021.04.06	16:00:00	0.93530	0.93592	0.93394	0.93419	3405	0	1
2021.04.06	17:00:00	0.93419	0.93435	0.93280	0.93321	3474	0	1
2021.04.06	18:00:00	0.93321	0.93333	0.93232	0.93251	1999	0	1
2021.04.06	19:00:00	0.93252	0.93300	0.93215	0.93237	1164	0	1
2021.04.06	20:00:00	0.93238	0.93327	0.93228	0.93304	1008	0	1
2021.04.06	21:00:00	0.93304	0.93316	0.93089	0.93114	1455	0	1
2021.04.06	22:00:00	0.93115	0.93164	0.93084	0.93087	1248	0	1
2021.04.06	23:00:00	0.93087	0.93094	0.93027	0.93078	1025	0	1
2021.04.07	00:00:00	0.93076	0.93178	0.93062	0.93123	565	0	22
2021.04.07	01:00:00	0.93123	0.93125	0.93075	0.93094	984	0	1
2021.04.07	02:00:00	0.93098	0.93104	0.93067	0.93084	753	0	1
2021.04.07	03:00:00	0.93084	0.93149	0.93079	0.93116	672	0	1
2021.04.07	04:00:00	0.93118	0.93118	0.93048	0.93083	789	0	1
2021.04.07	05:00:00	0.93083	0.93133	0.93075	0.93116	800	0	1
2021.04.07	06:00:00	0.93116	0.93140	0.93107	0.93127	1019	0	1
2021.04.07	07:00:00	0.93127	0.93129	0.93078	0.93089	834	0	1
2021.04.07	08:00:00	0.93090	0.93128	0.93079	0.93087	818	0	1
2021.04.07	09:00:00	0.93086	0.93087	0.92891	0.92996	2359	0	1
2021.04.07	10:00:00	0.92997	0.93049	0.92890	0.92997	2357	0	1
2021.04.07	11:00:00	0.92996	0.93123	0.92917	0.92937	2034	0	1
2021.04.07	12:00:00	0.92938	0.92961	0.92859	0.92925	1771	0	1
2021.04.07	13:00:00	0.92921	0.92962	0.92854	0.92905	2029	0	1
2021.04.07	14:00:00	0.92905	0.92941	0.92832	0.92891	1860	0	1
2021.04.07	15:00:00	0.92890	0.92963	0.92889	0.92915	2107	0	1
2021.04.07	16:00:00	0.92915	0.92923	0.92802	0.92847	3033	0	1
2021.04.07	17:00:00	0.92847	0.92862	0.92682	0.92757	4122	0	1
2021.04.07	18:00:00	0.92758	0.92807	0.92683	0.92750	2569	0	1
2021.04.07	19:00:00	0.92750	0.92856	0.92715	0.92844	1121	0	1
2021.04.07	20:00:00	0.92844	0.92853	0.92792	0.92795	999	0	1
2021.04.07	21:00:00	0.92789	0.93000	0.92776	0.92980	1462	0	1
2021.04.07	22:00:00	0.92980	0.93030	0.92953	0.92965	1174	0	1
2021.04.07	23:00:00	0.92965	0.92971	0.92929	0.92949	781	0	1
2021.04.08	00:00:00	0.92946	0.92986	0.92863	0.92905	2127	0	37
2021.04.08	01:00:00	0.92907	0.92974	0.92907	0.92944	554	0	2
2021.04.08	02:00:00	0.92944	0.92987	0.92934	0.92944	416	0	1
