<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.01.04	1.47306	1.48152	1.46626	1.47167	137540	122032696000	11
2016.01.05	1.47119	1.47250	1.46374	1.46720	125023	123940884000	0
2016.01.06	1.46713	1.46816	1.46016	1.46295	145273	131854778000	0
2016.01.07	1.46263	1.46398	1.45327	1.46150	155114	143832921000	0
2016.01.08	1.46135	1.46444	1.45056	1.45156	152092	135216761000	11
2016.01.11	1.45144	1.46040	1.44909	1.45395	119108	111383258000	2
2016.01.12	1.45393	1.45599	1.43516	1.44456	139239	132291115000	0
2016.01.13	1.44456	1.44755	1.43796	1.44051	142231	133441869000	11
2016.01.14	1.44044	1.44447	1.43596	1.44090	146084	135004066000	11
2016.01.15	1.44102	1.44272	1.42511	1.42543	141735	134112123000	11
2016.01.18	1.42472	1.43227	1.42365	1.42414	125373	118616906000	11
2016.01.19	1.42416	1.43396	1.41287	1.41557	152307	146837609000	11
2016.01.20	1.41520	1.42186	1.41248	1.41897	155487	159170490000	11
2016.01.21	1.41868	1.42485	1.40790	1.42198	167066	164700113000	0
2016.01.22	1.42173	1.43620	1.42041	1.42645	148346	143741345000	4
2016.01.25	1.42604	1.43092	1.42232	1.42467	136384	140945553000	0
2016.01.26	1.42467	1.43666	1.41727	1.43487	145815	145587512000	0
2016.01.27	1.43477	1.43547	1.42295	1.42327	159506	163614852000	0
2016.01.28	1.42318	1.44069	1.42315	1.43581	166445	153967058000	11
2016.01.29	1.43577	1.44128	1.41490	1.42422	184565	158831204000	11
2016.02.01	1.42384	1.44444	1.42276	1.44308	147851	125485786000	10
2016.02.02	1.44307	1.44453	1.43256	1.44069	145056	117453911000	11
2016.02.03	1.44064	1.46486	1.43832	1.46017	163777	131427072000	11
2016.02.04	1.45936	1.46679	1.45292	1.45866	177912	147782002000	11
2016.02.05	1.45877	1.45905	1.44515	1.45001	148273	158975388000	11
2016.02.08	1.44787	1.45463	1.43507	1.44290	177956	197985576000	11
2016.02.09	1.44290	1.45149	1.43777	1.44710	204021	209465058000	11
2016.02.10	1.44683	1.45778	1.44397	1.45187	188717	195806249000	11
2016.02.11	1.45207	1.45632	1.43823	1.44751	216125	211401798000	0
2016.02.12	1.44728	1.45696	1.44425	1.44921	188502	178312781000	11
2016.02.15	1.44888	1.45349	1.44126	1.44297	155034	152710596000	0
2016.02.16	1.44276	1.45154	1.42753	1.43018	159060	161412846000	11
2016.02.17	1.42975	1.43386	1.42348	1.42891	173420	172624102000	0
2016.02.18	1.42862	1.43939	1.42561	1.43322	179051	192581745000	0
2016.02.19	1.43349	1.44075	1.42464	1.44026	168990	155610254000	0
2016.02.22	1.42607	1.43059	1.40569	1.41489	192004	180445578000	0
2016.02.23	1.41473	1.41557	1.40071	1.40191	179716	173568684000	0
2016.02.24	1.40172	1.40269	1.38779	1.39231	190464	198123501000	11
2016.02.25	1.39239	1.39959	1.38994	1.39595	168087	179197014000	11
2016.02.26	1.39613	1.40421	1.38534	1.38594	175115	191594953000	0
2016.02.29	1.38557	1.39458	1.38351	1.39122	174425	178702957000	11
2016.03.01	1.39123	1.40184	1.39037	1.39507	182198	182026115000	0
2016.03.02	1.39523	1.40927	1.39141	1.40785	179259	192205034000	0
2016.03.03	1.40753	1.41935	1.40322	1.41732	181687	187909653000	0
2016.03.04	1.41735	1.42479	1.41075	1.42293	176437	159863794000	0
2016.03.07	1.42148	1.42833	1.41336	1.42620	141513	137392861000	0
2016.03.08	1.42607	1.42748	1.41728	1.42143	140878	135474464000	11
2016.03.09	1.42116	1.42404	1.41769	1.42134	139445	129080476000	0
2016.03.10	1.42151	1.43166	1.41173	1.42803	163358	145768934000	0
2016.03.11	1.42818	1.44361	1.42536	1.43791	134849	121564540000	11
2016.03.14	1.43730	1.43887	1.42923	1.42985	121056	124789352000	0
2016.03.15	1.42997	1.43045	1.41363	1.41512	136080	142656075000	0
2016.03.16	1.41512	1.42737	1.40526	1.42498	159577	157815345000	0
2016.03.17	1.42497	1.45028	1.42209	1.44731	155009	137776598000	11
2016.03.18	1.44751	1.45139	1.44097	1.44697	114163	102636918000	11
2016.03.21	1.44595	1.44673	1.43650	1.43681	118180	116405419000	0
2016.03.22	1.43686	1.43969	1.41898	1.42126	135094	129672222000	0
2016.03.23	1.42131	1.42270	1.40817	1.41171	116166	101415702000	0
2016.03.24	1.41169	1.41822	1.40567	1.41521	118134	112103497000	11
2016.03.25	1.41521	1.41569	1.41087	1.41238	32101	31835794000	11
2016.03.28	1.41300	1.42828	1.41197	1.42509	64943	77982954000	0
2016.03.29	1.42517	1.44035	1.41941	1.43826	153036	171597185000	11
2016.03.30	1.43768	1.44586	1.43602	1.43776	164077	168705047000	0
2016.03.31	1.43739	1.44256	1.43254	1.43613	151476	158142508000	11
2016.04.01	1.43584	1.43708	1.41703	1.42255	160043	169980863000	11
2016.04.04	1.42182	1.43211	1.41904	1.42619	135473	139254870000	11
2016.04.05	1.42564	1.42783	1.41211	1.41579	142711	170337105000	0
2016.04.06	1.41567	1.41707	1.40047	1.41193	160172	173161952000	11
2016.04.07	1.41191	1.41564	1.40484	1.40538	170416	191118683000	0
2016.04.08	1.40541	1.41404	1.40400	1.41139	137690	147434621000	0
2016.04.11	1.41137	1.42860	1.41048	1.42379	140036	160954342000	0
2016.04.12	1.42341	1.43477	1.41958	1.42721	159586	185063906000	0
2016.04.13	1.42722	1.42786	1.41924	1.42011	160744	182337177000	0
2016.04.14	1.42011	1.42070	1.40899	1.41499	138080	158026625000	0
2016.04.15	1.41487	1.42415	1.41323	1.41981	119603	140736297000	0
2016.04.18	1.41890	1.42902	1.41306	1.42746	121303	110989296000	0
2016.04.19	1.42739	1.44186	1.42702	1.43961	138771	144067532000	0
2016.04.20	1.43882	1.44102	1.43295	1.43308	152296	152169371000	0
2016.04.21	1.43252	1.44395	1.42989	1.43214	154516	150591272000	0
2016.04.22	1.43202	1.44512	1.43140	1.43955	146006	132856096000	0
2016.04.25	1.44579	1.45189	1.44023	1.44788	147798	146737104000	0
2016.04.26	1.44780	1.46382	1.44780	1.45785	150908	155602643000	0
2016.04.27	1.45783	1.46212	1.44731	1.45390	156317	165846281000	0
2016.04.28	1.45393	1.46225	1.45225	1.46059	157435	159096920000	0
2016.04.29	1.46059	1.46706	1.45760	1.46102	163948	164106116000	5
2016.05.02	1.45863	1.46957	1.45835	1.46718	138897	154271557000	0
2016.05.03	1.46718	1.47691	1.45286	1.45342	181378	201351283000	0
2016.05.04	1.45320	1.45711	1.44610	1.44919	164158	174350938000	0
2016.05.05	1.44877	1.45287	1.44435	1.44842	139253	152916211000	11
