<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.01.04	1.38132	1.39827	1.38132	1.39504	137186	119369678000	9
2016.01.05	1.39487	1.40186	1.38976	1.39947	127121	124519484000	0
2016.01.06	1.39912	1.41083	1.39728	1.40743	149455	131044596000	0
2016.01.07	1.40744	1.41693	1.40500	1.41132	177573	145384237000	0
2016.01.08	1.41081	1.41766	1.40579	1.41711	155920	137070397000	9
2016.01.11	1.41640	1.42450	1.40646	1.42134	137231	128065091000	1
2016.01.12	1.42084	1.43149	1.41759	1.42600	154351	141359071000	0
2016.01.13	1.42596	1.43797	1.41870	1.43395	155488	141738194000	9
2016.01.14	1.43366	1.43972	1.43344	1.43656	164319	151842844000	9
2016.01.15	1.43607	1.45532	1.43423	1.45357	156910	145965390000	9
2016.01.18	1.45901	1.46058	1.44859	1.45569	144212	138927040000	0
2016.01.19	1.45508	1.45887	1.44313	1.45772	176496	162406316000	0
2016.01.20	1.45774	1.46895	1.44782	1.45022	209560	205822627000	9
2016.01.21	1.44998	1.45401	1.42273	1.42651	205260	198129564000	9
2016.01.22	1.42643	1.42996	1.41142	1.41211	191461	192723787000	0
2016.01.25	1.41409	1.42915	1.41256	1.42898	182313	188557212000	0
2016.01.26	1.42898	1.43252	1.40442	1.41163	189903	179941997000	0
2016.01.27	1.41134	1.41563	1.40275	1.40946	201461	205390341000	0
2016.01.28	1.40971	1.41223	1.39476	1.40275	209676	189431340000	9
2016.01.29	1.40276	1.41087	1.39668	1.39703	196616	173115212000	9
2016.02.01	1.39681	1.40618	1.39076	1.39447	174452	159503657000	9
2016.02.02	1.39410	1.40816	1.39340	1.40529	175285	155163644000	9
2016.02.03	1.40525	1.41025	1.37566	1.37770	194109	157388494000	9
2016.02.04	1.37769	1.37968	1.36388	1.37520	201045	192930263000	9
2016.02.05	1.37525	1.39178	1.37092	1.39139	165135	165140356000	7
2016.02.08	1.38975	1.39778	1.38401	1.39237	189705	204459486000	9
2016.02.09	1.39228	1.39598	1.37861	1.38649	191584	181800140000	0
2016.02.10	1.38658	1.39989	1.38199	1.39202	199253	197089756000	9
2016.02.11	1.39210	1.40159	1.38821	1.39344	216914	199696686000	9
2016.02.12	1.39361	1.39646	1.38126	1.38443	181405	160821941000	9
2016.02.15	1.38474	1.38593	1.37975	1.38318	122234	103381897000	0
2016.02.16	1.38347	1.39111	1.37059	1.38631	184506	161298165000	9
2016.02.17	1.38627	1.38985	1.36669	1.36709	185993	155507288000	0
2016.02.18	1.36718	1.37512	1.36531	1.37232	175825	151707370000	0
2016.02.19	1.37259	1.38462	1.37138	1.37603	154522	123824028000	0
2016.02.22	1.37745	1.37923	1.36618	1.37046	153809	135465042000	0
2016.02.23	1.37048	1.38206	1.36947	1.37938	167156	150112273000	0
2016.02.24	1.37876	1.38588	1.36769	1.37003	170951	142008461000	9
2016.02.25	1.36890	1.37346	1.35167	1.35284	180705	165791018000	9
