<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	1.25333	1.25583	1.25000	1.25108	87218	0	2
2018.01.03	1.25108	1.25537	1.24991	1.25358	102837	0	2
2018.01.04	1.25358	1.25549	1.24841	1.24867	110617	0	2
2018.01.05	1.24852	1.25132	1.23551	1.24087	126134	0	2
2018.01.08	1.24090	1.24497	1.23781	1.24177	95834	0	1
2018.01.09	1.24181	1.24779	1.23978	1.24627	108398	0	1
2018.01.10	1.24627	1.25833	1.24273	1.25443	160718	0	1
2018.01.11	1.25443	1.25903	1.25153	1.25184	151682	0	1
2018.01.12	1.25184	1.25561	1.24566	1.24586	156430	0	1
2018.01.15	1.24550	1.24714	1.24023	1.24276	156992	0	1
2018.01.16	1.24276	1.24523	1.23969	1.24341	133385	0	1
2018.01.17	1.24341	1.25246	1.23606	1.24347	193739	0	1
2018.01.18	1.24345	1.24869	1.24136	1.24160	160379	0	1
2018.01.19	1.24159	1.25083	1.23995	1.24936	138594	0	1
2018.01.22	1.24744	1.24964	1.24345	1.24424	90300	0	1
2018.01.23	1.24423	1.24911	1.24180	1.24181	129154	0	1
2018.01.24	1.24184	1.24272	1.23162	1.23440	149970	0	1
2018.01.25	1.23447	1.23911	1.22819	1.23755	210504	0	1
2018.01.26	1.23755	1.23909	1.22931	1.23187	171945	0	1
2018.01.29	1.23095	1.23612	1.23090	1.23371	136789	0	1
2018.01.30	1.23371	1.23788	1.23092	1.23333	118175	0	1
2018.01.31	1.23338	1.23479	1.22486	1.23130	151355	0	1
2018.02.01	1.23120	1.23314	1.22572	1.22650	134567	0	1
2018.02.02	1.22650	1.24366	1.22553	1.24268	169965	0	1
2018.02.05	1.24353	1.25433	1.23974	1.25359	186641	0	1
2018.02.06	1.25380	1.25665	1.24896	1.24897	250030	0	1
2018.02.07	1.24906	1.25773	1.24897	1.25649	154615	0	1
2018.02.08	1.25673	1.26143	1.25461	1.26012	202851	0	1
2018.02.09	1.26012	1.26869	1.25601	1.25797	231494	0	1
2018.02.12	1.25803	1.26229	1.25557	1.25759	116682	0	1
2018.02.13	1.25759	1.26249	1.25662	1.25912	112876	0	1
2018.02.14	1.25905	1.26488	1.24900	1.24906	152323	0	1
2018.02.15	1.24906	1.25372	1.24655	1.24793	136687	0	1
2018.02.16	1.24794	1.25676	1.24503	1.25568	125688	0	1
2018.02.19	1.25569	1.25923	1.25273	1.25583	82707	0	1
2018.02.20	1.25583	1.26484	1.25546	1.26448	116867	0	1
2018.02.21	1.26450	1.27024	1.26207	1.27006	134217	0	1
2018.02.22	1.27010	1.27592	1.26713	1.27033	126415	0	1
2018.02.23	1.27033	1.27256	1.26115	1.26286	111764	0	1
2018.02.26	1.26306	1.27114	1.26148	1.26753	89381	0	1
2018.02.27	1.26754	1.27775	1.26679	1.27746	109107	0	1
2018.02.28	1.27749	1.28413	1.27615	1.28282	107040	0	1
2018.03.01	1.28275	1.28953	1.28088	1.28355	154529	0	1
2018.03.02	1.28355	1.29156	1.28197	1.28842	132404	0	1
2018.03.05	1.28735	1.30007	1.28638	1.29631	134567	0	1
2018.03.06	1.29645	1.29949	1.28621	1.28743	152475	0	1
2018.03.07	1.28745	1.30007	1.28743	1.29106	179500	0	1
2018.03.08	1.29091	1.29613	1.28671	1.28957	158576	0	1
2018.03.09	1.28957	1.29087	1.28083	1.28106	156008	0	1
2018.03.12	1.28136	1.28450	1.28032	1.28413	84920	0	1
2018.03.13	1.28413	1.29842	1.28300	1.29518	137524	0	1
2018.03.14	1.29518	1.29758	1.29208	1.29558	128095	0	1
2018.03.15	1.29558	1.30672	1.29455	1.30482	131005	0	1
2018.03.16	1.30481	1.30985	1.30451	1.30958	122253	0	1
2018.03.19	1.30927	1.31245	1.30468	1.30811	124010	0	1
2018.03.20	1.30811	1.31031	1.30527	1.30733	117712	0	1
2018.03.21	1.30733	1.30766	1.28899	1.29033	166384	0	1
2018.03.22	1.29033	1.29485	1.28295	1.29302	146919	0	1
2018.03.23	1.29310	1.29377	1.28237	1.28946	158708	0	1
2018.03.26	1.28828	1.29220	1.28392	1.28427	116369	0	1
2018.03.27	1.28446	1.29026	1.28146	1.28843	117334	0	1
2018.03.28	1.28837	1.29335	1.28630	1.29211	140682	0	1
2018.03.29	1.29200	1.29389	1.28606	1.28819	112518	0	1
2018.03.30	1.28829	1.28998	1.28600	1.28948	59641	0	1
2018.04.02	1.28870	1.29434	1.28624	1.29119	84023	0	1
2018.04.03	1.29103	1.29234	1.27810	1.28060	104299	0	1
2018.04.04	1.28048	1.28474	1.27573	1.27678	82878	0	1
2018.04.05	1.27680	1.28063	1.27445	1.27471	65194	0	1
2018.04.06	1.27481	1.27954	1.27330	1.27807	81417	0	1
2018.04.09	1.27605	1.28187	1.26874	1.26961	63795	0	1
2018.04.10	1.26966	1.27081	1.25881	1.26012	63222	0	1
2018.04.11	1.25986	1.26233	1.25442	1.25799	57923	0	1
2018.04.12	1.25660	1.26222	1.25615	1.25861	69273	0	1
2018.04.13	1.25881	1.26171	1.25520	1.26139	48670	0	1
2018.04.16	1.25938	1.26231	1.25629	1.25643	45524	0	1
2018.04.17	1.25643	1.25793	1.25271	1.25494	48770	0	1
2018.04.18	1.25463	1.26592	1.25460	1.26251	66200	0	1
2018.04.19	1.26280	1.26759	1.25853	1.26713	69716	0	1
2018.04.20	1.26707	1.27651	1.26294	1.27633	66775	0	1
2018.04.23	1.27421	1.28575	1.27421	1.28483	55983	0	1
2018.04.24	1.28441	1.28609	1.28123	1.28326	59988	0	1
2018.04.25	1.28319	1.28972	1.28205	1.28405	63461	0	1
2018.04.26	1.28382	1.28852	1.28211	1.28680	81766	0	1
2018.04.27	1.28700	1.29004	1.28259	1.28273	55496	0	1
2018.04.30	1.28330	1.28744	1.28051	1.28420	63663	0	1
2018.05.01	1.28420	1.29135	1.28203	1.28454	71042	0	1
2018.05.02	1.28453	1.28876	1.28028	1.28828	97603	0	1
2018.05.03	1.28824	1.29085	1.28161	1.28464	94724	0	1
2018.05.04	1.28464	1.29174	1.28361	1.28437	74171	0	1
2018.05.07	1.28441	1.28992	1.28395	1.28804	52680	0	1
2018.05.08	1.28804	1.29972	1.28761	1.29455	89693	0	1
2018.05.09	1.29455	1.29745	1.28251	1.28529	72235	0	1
2018.05.10	1.28529	1.28611	1.27424	1.27664	97117	0	1
2018.05.11	1.27677	1.27993	1.27291	1.27937	64528	0	1
2018.05.14	1.27714	1.28131	1.27502	1.28111	51385	0	1
2018.05.15	1.27994	1.29243	1.27920	1.28759	80705	0	1
2018.05.16	1.28689	1.28766	1.27777	1.27888	84203	0	1
2018.05.17	1.27908	1.28222	1.27494	1.28037	80877	0	1
2018.05.18	1.28009	1.29108	1.27910	1.28838	74278	0	1
2018.05.21	1.28735	1.28905	1.27817	1.27838	57835	0	1
2018.05.22	1.27837	1.28223	1.27423	1.28178	66577	0	1
2018.05.23	1.28177	1.29152	1.28119	1.28267	99049	0	1
2018.05.24	1.28364	1.29204	1.28247	1.28809	89531	0	1
2018.05.25	1.28812	1.29884	1.28755	1.29733	73769	0	1
2018.05.28	1.29633	1.30217	1.29583	1.29922	53148	0	1
2018.05.29	1.29917	1.30467	1.29679	1.30140	94205	0	1
2018.05.30	1.30152	1.30402	1.28357	1.28728	100956	0	1
2018.05.31	1.28727	1.29905	1.28181	1.29558	108844	0	1
2018.06.01	1.29560	1.30072	1.29312	1.29510	89630	0	1
2018.06.04	1.29400	1.29640	1.28996	1.29295	74991	0	0
2018.06.05	1.29277	1.30668	1.29140	1.29663	88304	0	1
2018.06.06	1.29645	1.29731	1.28558	1.29426	88472	0	1
2018.06.07	1.29438	1.30012	1.29351	1.29707	74993	0	1
2018.06.08	1.29712	1.30386	1.29203	1.29253	84098	0	1
2018.06.11	1.29912	1.30273	1.29551	1.29769	56729	0	1
2018.06.12	1.29767	1.30295	1.29761	1.30136	75831	0	1
2018.06.13	1.30123	1.30515	1.29549	1.29852	90345	0	1
2018.06.14	1.29817	1.31096	1.29492	1.31028	82805	0	1
2018.06.15	1.30904	1.32072	1.30901	1.32072	78595	0	1
2018.06.18	1.31792	1.32371	1.31590	1.31997	56696	0	1
2018.06.19	1.32007	1.32911	1.31957	1.32856	91306	0	1
2018.06.20	1.32777	1.33212	1.32686	1.33043	77801	0	1
2018.06.21	1.33033	1.33354	1.32822	1.33103	85933	0	1
2018.06.22	1.33135	1.33821	1.32590	1.32658	84582	0	1
2018.06.25	1.32664	1.33245	1.32651	1.32968	69927	0	1
2018.06.26	1.32927	1.33289	1.32805	1.33064	73526	0	1
2018.06.27	1.33017	1.33860	1.32768	1.33354	87685	0	1
2018.06.28	1.33373	1.33512	1.32413	1.32471	83234	0	1
2018.06.29	1.32487	1.32693	1.31298	1.31342	92030	0	1
2018.07.02	1.31391	1.32249	1.31388	1.31833	70288	0	1
2018.07.03	1.31827	1.32075	1.31320	1.31378	75156	0	1
2018.07.04	1.31382	1.31613	1.31116	1.31407	74665	0	1
2018.07.05	1.31406	1.31604	1.31145	1.31294	71207	0	1
2018.07.06	1.31332	1.31503	1.30763	1.30819	68766	0	1
2018.07.09	1.30841	1.31226	1.30658	1.31054	53984	0	1
2018.07.10	1.31104	1.31460	1.30999	1.31123	55462	0	1
2018.07.11	1.31080	1.32141	1.30638	1.32068	87770	0	1
2018.07.12	1.32076	1.32175	1.31492	1.31525	66093	0	1
2018.07.13	1.31549	1.32087	1.31494	1.31610	61823	0	1
2018.07.16	1.31517	1.31625	1.31092	1.31315	59338	0	1
2018.07.17	1.31350	1.32188	1.31108	1.31899	73266	0	1
2018.07.18	1.31901	1.32596	1.31617	1.31656	72770	0	0
2018.07.19	1.31649	1.32895	1.31598	1.32714	92453	0	1
2018.07.20	1.32714	1.32896	1.31140	1.31446	98405	0	1
2018.07.23	1.31279	1.31788	1.31138	1.31704	54421	0	7
2018.07.24	1.31679	1.31904	1.31348	1.31535	55316	0	9
2018.07.25	1.31538	1.31651	1.30235	1.30455	69024	0	6
2018.07.26	1.30449	1.30921	1.30239	1.30714	58655	0	4
2018.07.27	1.30701	1.30782	1.30400	1.30610	54485	0	5
2018.07.30	1.30491	1.30779	1.29936	1.30348	41040	0	4
2018.07.31	1.30337	1.30955	1.29807	1.30059	62378	0	5
2018.08.01	1.30069	1.30318	1.29742	1.30016	52468	0	4
2018.08.02	1.30038	1.30387	1.29929	1.30211	41008	0	4
2018.08.03	1.30190	1.30383	1.29671	1.29915	49187	0	4
2018.08.06	1.29917	1.30393	1.29866	1.30026	30459	0	4
2018.08.07	1.30020	1.30746	1.29613	1.30526	39558	0	6
2018.08.08	1.30522	1.31193	1.30058	1.30212	50038	0	4
2018.08.09	1.30183	1.30634	1.29993	1.30501	44189	0	4
2018.08.10	1.30496	1.31525	1.30391	1.31409	76421	0	6
2018.08.13	1.31598	1.31700	1.31029	1.31334	64406	0	6
2018.08.14	1.31277	1.31355	1.30559	1.30574	56900	0	6
2018.08.15	1.30575	1.31737	1.30493	1.31407	65348	0	6
2018.08.16	1.31407	1.31735	1.31128	1.31569	62586	0	6
2018.08.17	1.31542	1.31684	1.30507	1.30611	54646	0	5
2018.08.20	1.30588	1.30917	1.30387	1.30432	45306	0	5
2018.08.21	1.30424	1.30568	1.30130	1.30328	51671	0	6
2018.08.22	1.30327	1.30440	1.29859	1.29951	54231	0	6
2018.08.23	1.29904	1.30981	1.29893	1.30807	51749	0	4
2018.08.24	1.30808	1.31025	1.30103	1.30267	57627	0	7
2018.08.27	1.30127	1.30664	1.29524	1.29661	51925	0	5
2018.08.28	1.29653	1.29815	1.28865	1.29319	52152	0	4
2018.08.29	1.29319	1.29620	1.29020	1.29074	55871	0	6
2018.08.30	1.29105	1.29993	1.29022	1.29809	57244	0	4
2018.08.31	1.29847	1.30875	1.29669	1.30389	66946	0	5
2018.09.03	1.30744	1.31019	1.30437	1.30909	33122	0	4
2018.09.04	1.30908	1.32070	1.30884	1.31876	56216	0	5
2018.09.05	1.31755	1.32054	1.31571	1.31777	64234	0	4
2018.09.06	1.31757	1.32254	1.31271	1.31413	61859	0	4
2018.09.07	1.31384	1.31897	1.31090	1.31624	64404	0	6
2018.09.10	1.31614	1.31971	1.31504	1.31621	39188	0	4
2018.09.11	1.31618	1.31739	1.30411	1.30660	47678	0	6
2018.09.12	1.30655	1.30775	1.29796	1.29939	56522	0	4
2018.09.13	1.29939	1.30248	1.29751	1.29950	52041	0	5
2018.09.14	1.29948	1.30535	1.29820	1.30301	49677	0	8
2018.09.17	1.30362	1.30478	1.30021	1.30415	35828	0	6
2018.09.18	1.30417	1.30636	1.29710	1.29739	58330	0	6
2018.09.19	1.29767	1.30151	1.28990	1.29258	53888	0	5
2018.09.20	1.29258	1.29315	1.28836	1.29010	59521	0	6
2018.09.21	1.29012	1.29421	1.28848	1.29119	49848	0	6
2018.09.24	1.29257	1.29557	1.29081	1.29550	42519	0	6
2018.09.25	1.29545	1.29717	1.29351	1.29519	40327	0	4
2018.09.26	1.29487	1.30246	1.29434	1.30175	50564	0	8
2018.09.27	1.30176	1.30812	1.30071	1.30412	55255	0	5
2018.09.28	1.30416	1.30483	1.29070	1.29073	44959	0	6
2018.10.01	1.28483	1.28851	1.27814	1.28131	52761	0	8
2018.10.02	1.28122	1.28403	1.27986	1.28220	47859	0	4
2018.10.03	1.28245	1.28819	1.28064	1.28638	52862	0	4
2018.10.04	1.28648	1.29367	1.28562	1.29220	51812	0	7
2018.10.05	1.29208	1.29543	1.28865	1.29407	49180	0	4
2018.10.08	1.29419	1.30095	1.29362	1.29614	40411	0	5
2018.10.09	1.29590	1.30027	1.29348	1.29432	56031	0	5
2018.10.10	1.29457	1.30683	1.29258	1.30667	54646	0	5
2018.10.11	1.30628	1.30709	1.30140	1.30315	78826	0	6
2018.10.12	1.30304	1.30515	1.30017	1.30245	55185	0	7
2018.10.15	1.30182	1.30504	1.29542	1.29900	60286	0	4
