<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	1.32090	1.32305	1.31150	1.31363	48916	0	2
2020.01.03	1.31363	1.31599	1.30532	1.30743	59795	0	2
2020.01.06	1.30781	1.31741	1.30625	1.31682	50184	0	2
2020.01.07	1.31684	1.32119	1.30948	1.31203	55737	0	0
2020.01.08	1.31180	1.31694	1.30801	1.30938	65260	0	0
2020.01.09	1.30937	1.31234	1.30130	1.30659	56120	0	0
2020.01.10	1.30659	1.30967	1.30422	1.30637	48542	0	0
2020.01.13	1.30364	1.30453	1.29609	1.29867	47464	0	0
2020.01.14	1.29867	1.30330	1.29541	1.30157	53505	0	0
2020.01.15	1.30151	1.30423	1.29848	1.30373	49886	0	0
2020.01.16	1.30373	1.30829	1.30251	1.30778	52227	0	0
2020.01.17	1.30783	1.31187	1.30076	1.30094	48664	0	0
2020.01.20	1.29985	1.30137	1.29618	1.30076	30729	0	0
2020.01.21	1.30075	1.30832	1.29949	1.30472	44734	0	0
2020.01.22	1.30473	1.31527	1.30345	1.31390	65605	0	0
2020.01.23	1.31395	1.31507	1.30969	1.31207	63668	0	0
2020.01.24	1.31208	1.31724	1.30564	1.30705	64938	0	0
2020.01.27	1.30754	1.31052	1.30401	1.30554	58664	0	0
2020.01.28	1.30570	1.30648	1.29753	1.30271	55509	0	0
2020.01.29	1.30271	1.30294	1.29892	1.30173	55576	0	0
2020.01.30	1.30192	1.31098	1.29777	1.30908	65249	0	0
2020.01.31	1.30907	1.32088	1.30820	1.32080	69507	0	0
2020.02.03	1.31701	1.31841	1.29828	1.29935	63750	0	0
2020.02.04	1.29935	1.30465	1.29409	1.30292	64479	0	0
2020.02.05	1.30292	1.30698	1.29562	1.30004	63619	0	0
2020.02.06	1.30016	1.30016	1.29210	1.29252	54083	0	0
2020.02.07	1.29262	1.29589	1.28809	1.28820	61264	0	0
2020.02.10	1.28864	1.29459	1.28717	1.29140	62085	0	0
2020.02.11	1.29128	1.29677	1.28943	1.29490	59098	0	0
2020.02.12	1.29508	1.29911	1.29452	1.29575	58281	0	0
2020.02.13	1.29568	1.30692	1.29441	1.30412	68228	0	0
2020.02.14	1.30385	1.30631	1.30010	1.30471	56498	0	0
2020.02.17	1.30324	1.30536	1.29975	1.30039	49400	0	0
2020.02.18	1.30039	1.30486	1.29705	1.29952	62288	0	0
2020.02.19	1.29952	1.30230	1.29075	1.29187	57909	0	0
2020.02.20	1.29186	1.29281	1.28489	1.28792	61033	0	0
2020.02.21	1.28802	1.29805	1.28746	1.29566	66386	0	0
2020.02.24	1.29426	1.29547	1.28865	1.29283	66933	0	0
2020.02.25	1.29290	1.30178	1.29142	1.30037	80121	0	0
2020.02.26	1.30036	1.30078	1.28953	1.28953	73940	0	0
2020.02.27	1.28967	1.29460	1.28601	1.28838	86909	0	0
2020.02.28	1.28838	1.29196	1.27255	1.28212	101153	0	0
2020.03.02	1.27918	1.28506	1.27398	1.27522	84743	0	0
2020.03.03	1.27518	1.28439	1.27379	1.28107	85409	0	0
2020.03.04	1.28103	1.28723	1.27697	1.28703	59390	0	0
2020.03.05	1.28700	1.29681	1.28604	1.29516	58349	0	0
2020.03.06	1.29527	1.30519	1.29371	1.30445	82330	0	0
2020.03.09	1.30754	1.31997	1.30342	1.30845	188792	0	0
2020.03.10	1.30845	1.31151	1.28580	1.28803	173248	0	12
2020.03.11	1.28803	1.29761	1.28024	1.28173	115489	0	1
2020.03.12	1.28191	1.28487	1.24902	1.25731	126863	0	1
2020.03.13	1.25735	1.26240	1.22658	1.22903	152633	0	0
2020.03.16	1.24107	1.24200	1.22018	1.22677	170248	0	0
2020.03.17	1.22662	1.22724	1.20018	1.20548	178035	0	0
2020.03.18	1.20551	1.21296	1.14515	1.15803	174594	0	0
2020.03.19	1.15777	1.17927	1.14190	1.14653	188137	0	0
2020.03.20	1.14652	1.19333	1.14098	1.15990	168903	0	0
2020.03.23	1.16745	1.17135	1.14463	1.15283	171688	0	0
2020.03.24	1.15283	1.17989	1.14749	1.17341	167644	0	0
2020.03.25	1.17342	1.19730	1.16384	1.18781	141114	0	0
2020.03.26	1.18781	1.22289	1.17761	1.21547	153930	0	0
2020.03.27	1.21547	1.24852	1.21301	1.24744	151946	0	0
2020.03.30	1.24174	1.24668	1.23169	1.24171	110477	0	0
2020.03.31	1.24043	1.24726	1.22436	1.24163	124197	0	0
2020.04.01	1.24219	1.24382	1.23299	1.23730	93664	0	0
2020.04.02	1.23730	1.24750	1.23496	1.23925	95238	0	0
2020.04.03	1.23953	1.24058	1.22049	1.22692	85528	0	0
2020.04.06	1.22204	1.23264	1.22095	1.22291	80623	0	0
2020.04.07	1.22284	1.23839	1.21645	1.23297	84701	0	0
2020.04.08	1.23295	1.24196	1.22877	1.23808	63135	0	0
2020.04.09	1.23749	1.24832	1.23600	1.24525	76642	0	0
2020.04.10	1.24492	1.24865	1.24325	1.24341	21062	0	0
2020.04.13	1.24536	1.25365	1.24490	1.25002	61683	0	0
2020.04.14	1.25002	1.26471	1.24896	1.26233	110741	0	0
2020.04.15	1.26120	1.26303	1.24362	1.25105	105125	0	0
2020.04.16	1.25108	1.25273	1.24078	1.24551	108131	0	0
2020.04.17	1.24550	1.25223	1.24064	1.25058	103885	0	0
2020.04.20	1.24916	1.24998	1.24160	1.24321	85781	0	0
