<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.07.01	00:00:00	111.101	111.108	111.062	111.081	537	0	3
2021.07.01	01:00:00	111.081	111.119	111.079	111.109	978	0	0
2021.07.01	02:00:00	111.109	111.139	111.088	111.132	1177	0	0
2021.07.01	03:00:00	111.132	111.163	111.072	111.080	3487	0	0
2021.07.01	04:00:00	111.080	111.080	111.027	111.060	3166	0	0
2021.07.01	05:00:00	111.060	111.074	111.028	111.063	2137	0	0
2021.07.01	06:00:00	111.064	111.107	111.059	111.093	1650	0	0
2021.07.01	07:00:00	111.094	111.106	111.086	111.099	1388	0	0
2021.07.01	08:00:00	111.099	111.151	111.098	111.121	1963	0	0
2021.07.01	09:00:00	111.121	111.242	111.119	111.203	3132	0	0
2021.07.01	10:00:00	111.202	111.276	111.200	111.274	3543	0	0
2021.07.01	11:00:00	111.274	111.412	111.268	111.402	3551	0	0
2021.07.01	12:00:00	111.403	111.510	111.379	111.494	3865	0	0
2021.07.01	13:00:00	111.494	111.627	111.446	111.453	4226	0	0
2021.07.01	14:00:00	111.452	111.491	111.353	111.467	4303	0	0
2021.07.01	15:00:00	111.466	111.488	111.357	111.391	4179	0	0
2021.07.01	16:00:00	111.390	111.479	111.348	111.392	4617	0	0
2021.07.01	17:00:00	111.393	111.600	111.355	111.534	6096	0	0
2021.07.01	18:00:00	111.534	111.612	111.517	111.560	3941	0	0
2021.07.01	19:00:00	111.561	111.585	111.532	111.570	2259	0	0
2021.07.01	20:00:00	111.571	111.633	111.561	111.618	2073	0	0
2021.07.01	21:00:00	111.618	111.638	111.603	111.621	1691	0	0
2021.07.01	22:00:00	111.620	111.624	111.544	111.552	1980	0	0
2021.07.01	23:00:00	111.552	111.577	111.519	111.521	1192	0	0
2021.07.02	00:00:00	111.519	111.533	111.484	111.524	480	0	5
2021.07.02	01:00:00	111.523	111.545	111.522	111.542	1453	0	0
2021.07.02	02:00:00	111.541	111.584	111.540	111.572	1494	0	0
2021.07.02	03:00:00	111.572	111.652	111.550	111.644	3416	0	0
2021.07.02	04:00:00	111.648	111.658	111.564	111.590	3557	0	0
2021.07.02	05:00:00	111.589	111.624	111.577	111.581	2397	0	0
2021.07.02	06:00:00	111.582	111.603	111.566	111.578	1360	0	0
2021.07.02	07:00:00	111.577	111.588	111.555	111.587	1720	0	0
2021.07.02	08:00:00	111.587	111.608	111.566	111.608	1566	0	0
2021.07.02	09:00:00	111.607	111.630	111.571	111.627	2480	0	0
2021.07.02	10:00:00	111.627	111.659	111.559	111.573	3390	0	0
2021.07.02	11:00:00	111.574	111.586	111.408	111.470	4093	0	0
2021.07.02	12:00:00	111.471	111.508	111.408	111.496	2306	0	0
2021.07.02	13:00:00	111.497	111.518	111.406	111.447	2444	0	0
2021.07.02	14:00:00	111.447	111.457	111.378	111.443	2665	0	0
2021.07.02	15:00:00	111.442	111.607	111.245	111.264	8366	0	0
2021.07.02	16:00:00	111.264	111.366	111.151	111.247	7974	0	0
2021.07.02	17:00:00	111.247	111.379	111.223	111.310	5596	0	0
2021.07.02	18:00:00	111.311	111.340	111.270	111.291	3147	0	0
2021.07.02	19:00:00	111.291	111.300	111.218	111.218	2501	0	0
2021.07.02	20:00:00	111.218	111.241	111.038	111.041	2013	0	0
2021.07.02	21:00:00	111.042	111.059	110.951	111.052	1799	0	0
2021.07.02	22:00:00	111.052	111.068	111.022	111.030	836	0	0
2021.07.02	23:00:00	111.030	111.043	111.008	111.020	591	0	0
2021.07.05	00:00:00	110.946	111.033	110.946	111.030	336	0	20
2021.07.05	01:00:00	111.040	111.147	111.008	111.147	1257	0	0
2021.07.05	02:00:00	111.145	111.158	111.108	111.140	1642	0	0
2021.07.05	03:00:00	111.138	111.190	111.109	111.141	2830	0	0
2021.07.05	04:00:00	111.142	111.157	111.051	111.056	2412	0	0
2021.07.05	05:00:00	111.056	111.128	111.055	111.090	1500	0	0
2021.07.05	06:00:00	111.091	111.124	111.075	111.119	1168	0	0
2021.07.05	07:00:00	111.119	111.143	111.119	111.137	1095	0	0
2021.07.05	08:00:00	111.137	111.143	111.102	111.138	982	0	0
2021.07.05	09:00:00	111.138	111.145	110.964	110.969	2452	0	0
2021.07.05	10:00:00	110.970	111.060	110.899	110.913	3033	0	0
2021.07.05	11:00:00	110.912	110.925	110.849	110.899	2914	0	0
2021.07.05	12:00:00	110.899	110.914	110.800	110.837	2786	0	0
2021.07.05	13:00:00	110.837	110.857	110.804	110.819	2185	0	0
2021.07.05	14:00:00	110.819	110.883	110.796	110.845	2538	0	0
2021.07.05	15:00:00	110.845	110.937	110.845	110.925	2271	0	0
2021.07.05	16:00:00	110.925	110.976	110.903	110.954	2402	0	0
2021.07.05	17:00:00	110.955	110.979	110.932	110.941	2167	0	0
2021.07.05	18:00:00	110.940	110.947	110.902	110.909	1787	0	0
2021.07.05	19:00:00	110.908	110.923	110.891	110.898	2004	0	0
2021.07.05	20:00:00	110.898	110.928	110.868	110.900	9374	0	0
2021.07.05	21:00:00	110.900	110.917	110.879	110.894	3313	0	6
2021.07.05	22:00:00	110.891	110.970	110.882	110.950	6826	0	4
2021.07.05	23:00:00	110.951	110.991	110.950	110.962	2999	0	5
2021.07.06	00:00:00	110.950	110.976	110.895	110.968	1549	0	7
2021.07.06	01:00:00	110.968	110.968	110.901	110.926	1035	0	0
2021.07.06	02:00:00	110.926	110.957	110.910	110.916	1363	0	0
2021.07.06	03:00:00	110.917	110.931	110.809	110.862	3112	0	0
2021.07.06	04:00:00	110.862	110.879	110.786	110.818	2947	0	0
2021.07.06	05:00:00	110.818	110.861	110.790	110.851	2326	0	0
2021.07.06	06:00:00	110.852	110.872	110.826	110.845	1937	0	0
